region,year,projected_mt,lower_mt,upper_mt
Africa,2025,239.99586211086995,223.7651641030322,257.4038459526203
Africa,2026,246.1632356711562,229.29835142294064,264.2685314571812
Africa,2027,252.48909736660264,234.9514812267365,271.3357836951878
Africa,2028,258.97751999882263,240.72741119840748,278.6112122871709
Africa,2029,265.6326810316049,246.62910107519994,286.10054906101124
Africa,2030,272.45886528050244,252.65960992537174,293.8096567625727
Americas,2025,858.937236572535,770.7523335687345,957.2117322756955
Americas,2026,875.609076389531,784.5631011162473,977.2206385501786
Americas,2027,892.604514056345,798.5325821421981,997.7586842810686
Americas,2028,909.9298305575329,812.6642451747459,1018.8368707674877
Americas,2029,927.5914287906024,826.9617928655267,1040.4662781146242
Americas,2030,945.5958359322987,841.4291339793735,1062.6581001584639
Asia,2025,1602.891230377277,1532.042340218925,1677.0165085993904
Asia,2026,1631.8660622576126,1558.7838545364689,1708.3746649018576
Asia,2027,1661.3646607333364,1585.9185782569343,1740.399900584572
Asia,2028,1691.396493726376,1613.4539451940775,1773.104281973019
Asia,2029,1721.971200306545,1641.3976474742155,1806.4999783860983
Asia,2030,1753.0985937853513,1669.7576142370594,1840.5992901768823
Europe,2025,550.940925083014,468.18762347041337,648.3210741056868
Europe,2026,558.0783522219868,473.21099213724733,658.1661296838103
Europe,2027,565.3082445670187,478.208398032023,668.2722693507449
Europe,2028,572.6318000027507,483.18126173355955,678.6421667055622
Europe,2029,580.0502319323857,488.13115967140465,689.2784140051788
Europe,2030,587.5647694787441,493.05979205562676,700.1835556156254
Oceania,2025,51.591708998760105,31.85096606080871,83.56746330177596
Oceania,2026,52.99025819955241,32.50185123555523,86.39407779282028
Oceania,2027,54.426719303342225,33.149630355945206,89.36050695942495
Oceania,2028,55.90212002684307,33.79429316203899,92.47262573332718
Oceania,2029,57.417515946137314,34.43587920333732,95.73651707738104
Oceania,2030,58.97399125188572,35.07447183696727,99.15848940915129
World,2025,3305.1181793249184,3109.8081466126146,3512.6945664487093
World,2026,3365.053575866462,3163.5965450826184,3579.339339604679
World,2027,3426.075847842919,3218.1141715631106,3647.4764689504987
World,2028,3488.20470477953,3273.375270563713,3717.1332513765374
World,2029,3551.4602136163303,3329.394692502928,3788.3371645005577
World,2030,3615.862805189648,3386.187832688013,3861.1159427547827
