area,region,year,risk_score,observed_pou_pct
Democratic Republic of the Congo,Africa,2024,0.9998562582346551,39.5
Central African Republic,Africa,2024,0.999765816402715,29.8
Burundi,Africa,2024,0.9989395321822867,
Nicaragua,Americas,2022,0.9977635864381197,17.3
Congo,Africa,2024,0.989655321505918,25.0
Papua New Guinea,Oceania,2024,0.9887467035663899,30.5
Madagascar,Africa,2024,0.9713796556188451,41.8
Liberia,Africa,2024,0.9640045361579491,37.3
Mozambique,Africa,2024,0.9527568672291385,22.3
Chad,Africa,2024,0.9479518210790688,33.6
Somalia,Africa,2024,0.9366211216065844,56.5
Afghanistan,Asia,2023,0.9170017582996248,29.7
Sudan,Africa,2024,0.8670776718295925,
Haiti,Americas,2024,0.841212080623293,51.4
Zimbabwe,Africa,2024,0.7081951367492738,18.4
Tajikistan,Asia,2024,0.6983430104125691,8.0
Eswatini,Africa,2024,0.6925487082975512,15.1
Malawi,Africa,2024,0.6889362475794639,24.5
Kenya,Africa,2024,0.6716257382297771,34.9
Zambia,Africa,2024,0.62668135824879,41.0
Lesotho,Africa,2024,0.6151733697231381,
Cameroon,Africa,2024,0.6138472904898317,4.9
Gabon,Africa,2024,0.6010132093500137,23.3
Uganda,Africa,2024,0.5804819026721154,20.9
Namibia,Africa,2024,0.5749144978155857,20.1
Mongolia,Asia,2024,0.558015069963375,
Micronesia (Federated States of),Oceania,2024,0.5564328573727801,
Rwanda,Africa,2024,0.5550626583375273,22.6
Togo,Africa,2024,0.48623960866940974,10.2
Ethiopia,Africa,2024,0.48404912585703475,19.9
Sao Tome and Principe,Africa,2024,0.4802377739929894,23.0
Guinea-Bissau,Africa,2024,0.33062775644691583,20.0
Solomon Islands,Oceania,2024,0.32617627848219044,27.0
Niger,Africa,2024,0.28986293483130326,12.9
Sierra Leone,Africa,2024,0.2774063261062031,25.3
United Republic of Tanzania,Africa,2024,0.24863069265015086,19.1
Timor-Leste,Asia,2024,0.24280281516268934,16.9
Gambia,Africa,2024,0.20910038954172008,17.5
Burkina Faso,Africa,2024,0.18421784815544395,11.7
Comoros,Africa,2024,0.14988023728673783,16.5
Bolivia (Plurinational State of),Americas,2024,0.1401386426332249,19.5
Saint Vincent and the Grenadines,Americas,2024,0.09872785681417197,4.0
Guatemala,Americas,2024,0.06944087700229923,12.7
Bahamas,Americas,2024,0.06938589082311722,
Angola,Africa,2024,0.06847600633421619,17.4
Ecuador,Americas,2024,0.06791199767888445,10.8
Botswana,Africa,2024,0.042567955822762425,18.2
Dominica,Americas,2024,0.037988984578562875,3.0
Pakistan,Asia,2024,0.0344634445435391,16.1
Nigeria,Africa,2024,0.033248823228061435,22.2
Côte d'Ivoire,Africa,2024,0.03249265088628355,11.4
Djibouti,Africa,2024,0.02648508826085818,14.7
South Africa,Africa,2024,0.01952316932045378,11.2
Syrian Arab Republic,Asia,2022,0.016991249927074167,35.5
Lebanon,Asia,2023,0.01645858366846288,11.4
Ghana,Africa,2024,0.01581327171399674,6.4
Vanuatu,Oceania,2024,0.015093894295860591,5.8
Mali,Africa,2024,0.014600646931523239,12.1
Morocco,Africa,2024,0.013989821035418668,6.5
Guinea,Africa,2024,0.013379551747028897,8.7
Benin,Africa,2024,0.007965829821103823,11.1
Mauritania,Africa,2024,0.007162919302874825,11.0
Sri Lanka,Asia,2024,0.006757355473926687,4.9
Senegal,Africa,2024,0.006674785972918375,5.3
Philippines,Asia,2024,0.005163808272931474,3.4
Jamaica,Americas,2024,0.0046409447604286,8.0
Myanmar,Asia,2024,0.0038900555781056965,4.6
Grenada,Americas,2024,0.003159036578326464,
Panama,Americas,2024,0.0029872353051635615,4.7
Argentina,Americas,2024,0.002899246410287613,2.8
El Salvador,Americas,2024,0.0024350175707748556,5.3
Republic of Moldova,Europe,2024,0.0024059429028049427,
Albania,Europe,2024,0.0023535715373745043,5.6
Peru,Americas,2024,0.001527786428280421,5.7
Belize,Americas,2024,0.0014157200112419443,4.4
Honduras,Americas,2024,0.0011473273472126409,14.3
India,Asia,2024,0.0010953280550985913,9.8
Algeria,Africa,2024,0.0009521496573447576,
Colombia,Americas,2024,0.0009496011354237534,4.1
Nepal,Asia,2024,0.0009253545451875403,5.2
Iraq,Asia,2024,0.0008937797436437172,13.4
Bhutan,Asia,2023,0.0008309687649053574,
Indonesia,Asia,2024,0.0008289468514709144,6.3
Ukraine,Europe,2024,0.0008284347134181633,10.8
Lao People's Democratic Republic,Asia,2024,0.0007816072126519561,10.0
Kyrgyzstan,Asia,2024,0.0007801533016833952,4.8
Fiji,Oceania,2024,0.0006504704665686152,7.2
Cabo Verde,Africa,2024,0.0004330989689861376,8.1
Armenia,Asia,2024,0.00041950440958402936,
Tunisia,Africa,2024,0.00041666101604106586,2.8
Oman,Asia,2024,0.00037998544004185875,7.1
Cambodia,Asia,2024,0.00036959122750827167,4.7
Libya,Africa,2024,0.0003565534568302375,18.7
Uzbekistan,Asia,2024,0.0003521784229718805,
Paraguay,Americas,2024,0.00034050989096767856,4.1
Palestine,Asia,2022,0.0003235966860747952,
Saudi Arabia,Asia,2024,0.0002191682844861653,
Iran (Islamic Republic of),Asia,2024,0.00021273783595987593,6.7
Türkiye,Asia,2024,0.00020813565673368878,
Portugal,Europe,2024,0.0001868452753905894,
Georgia,Asia,2024,0.0001693547840738805,
Jordan,Asia,2024,0.0001650210063096763,12.2
North Macedonia,Europe,2024,0.0001494284707921782,
Israel,Asia,2024,0.0001460064830201121,
Serbia,Europe,2024,0.00013318534643743697,
Barbados,Americas,2024,0.0001329686714417164,5.0
Poland,Europe,2024,0.0001303557559390491,
Montenegro,Europe,2024,0.00011730642686328927,
Turkmenistan,Asia,2024,0.00011442514612794151,4.1
Lithuania,Europe,2024,0.00010298226366190753,
Russian Federation,Europe,2024,0.00010202439739579312,
Bosnia and Herzegovina,Europe,2024,9.961127715071212e-05,
Switzerland,Europe,2024,9.692790449555638e-05,
Spain,Europe,2024,9.640339778274108e-05,
Japan,Asia,2024,9.338795330973358e-05,
Puerto Rico,Americas,2024,8.936114713449414e-05,
Bangladesh,Asia,2024,8.571292982361345e-05,8.2
Mexico,Americas,2024,8.395463589404235e-05,3.1
Brunei Darussalam,Asia,2024,7.899510900968408e-05,
Dominican Republic,Americas,2024,7.86820251990255e-05,
Malaysia,Asia,2024,7.535618366466838e-05,
Romania,Europe,2024,6.610869022641042e-05,
Cyprus,Asia,2024,6.55190417426579e-05,
Estonia,Europe,2024,5.9705847423268193e-05,
Italy,Europe,2024,5.8965730699960725e-05,
Mauritius,Africa,2024,5.8669560503237665e-05,4.9
Viet Nam,Asia,2024,5.699938596825771e-05,6.1
