feature,importance,std
yield_lag1,0.7203567740633215,0.02092271611569345
yield_mean3,0.38447756089956486,0.015336111487659749
yield_lag2,0.341203891989512,0.010763970958749286
yield_lag3,0.09807857136731728,0.0031574994678965776
yield_trend5,0.016763799033783635,0.0021078194765327455
region_Africa,0.0037613989286549316,0.0008253490655600479
temp_lag1,0.0022521130113874947,0.0008048480352267507
log_population,0.0020997992885453194,0.0010312597928844804
region_Europe,0.00207907154248194,0.0006691720445742495
irrigation_lag1,0.0018079285059870221,0.000554503880980298
n_lag1,0.0013529929129447282,0.00028118480804301653
region_Americas,0.0007589605108182887,0.0004833920587190059
region_Oceania,0.0004162863844669166,0.00025745909729521835
year,0.00011808765778418644,3.82275791780459e-05
region_Asia,0.00010154764717415313,0.00020217068935379575
