area,region,year,yield_2024_t_ha,forecast_t_ha,change_pct,cereal_area_ha
Armenia,Asia,2025,1.9610999999999998,2.1709204867222356,10.699122264149485,109701.0
Afghanistan,Asia,2025,2.3586,2.4283568320880677,2.957552450100387,2635327.0
Albania,Europe,2025,5.1528,5.318296163244847,3.211771527030871,126129.0
Algeria,Africa,2025,1.5366,1.649825685873738,7.368585570333064,2680109.0
Angola,Africa,2025,1.1065999999999998,1.1377475833464794,2.814710224695438,3164046.0
Argentina,Americas,2025,4.8542,4.822112157985544,-0.6610325494304958,17660490.0
Australia,Oceania,2025,2.6896999999999998,2.836396378016079,5.454005205639256,19463223.0
Austria,Europe,2025,6.7218,7.027091291203446,4.541808610840037,726060.0
Bangladesh,Asia,2025,5.408,5.4254445834153335,0.32256995960304735,12268360.0
Bhutan,Asia,2025,3.5523000000000002,3.50430786077603,-1.351015939643907,20654.0
Bolivia (Plurinational State of),Americas,2025,2.209,2.2308338457457455,0.9884040627317958,1691778.0
Botswana,Africa,2025,0.9004,0.9024527231314863,0.22797902393227876,60588.0
Brazil,Americas,2025,5.0026,5.287837229560441,5.701779665782625,27781508.0
Belize,Americas,2025,3.698,3.8249481511468573,3.432886726523998,39413.0
Bulgaria,Europe,2025,5.1032,5.346203934903837,4.7617952442357225,1968320.0
Myanmar,Asia,2025,3.7791,3.8759817486084343,2.5636196080663254,7972532.0
Burundi,Africa,2025,1.1634,1.1984574470832878,3.013361447764118,678679.0
Cameroon,Africa,2025,1.7704000000000002,1.8162629965916108,2.590544317194454,2172460.0
Canada,Americas,2025,4.0213,4.205669735620938,4.584829175165694,15830900.0
Central African Republic,Africa,2025,0.7884,0.8544308476309883,8.375297771561186,358805.0
Sri Lanka,Asia,2025,4.0675,4.0610095171326,-0.15956933908788384,1212239.0
Chad,Africa,2025,0.8269,0.9068852155223772,9.67290065574764,3276392.0
Chile,Americas,2025,6.6061000000000005,6.616319527325665,0.15469834434331808,386898.0
"China, mainland",Asia,2025,6.4947,6.6141531254898815,1.8392400802174302,100290311.0
Colombia,Americas,2025,4.4222,4.541687049622959,2.701982036609807,981981.0
Congo,Africa,2025,0.8737,0.9242798172883777,5.789151572436491,34588.0
Cuba,Americas,2025,1.9456,2.1321632433870823,9.588982493168285,158289.0
Cyprus,Asia,2025,1.4395,1.9643947900606622,36.46368809035514,20070.0
Azerbaijan,Asia,2025,3.427,3.469071749290373,1.2276553630105935,964494.0
Benin,Africa,2025,1.356,1.3526371616254236,-0.24799693027850456,2142777.0
Denmark,Europe,2025,6.0963,6.411656255585315,5.1729123498731155,1229650.0
Dominican Republic,Americas,2025,4.4554,4.619091978076644,3.6740130645204427,235617.0
Belarus,Europe,2025,3.3948,3.588473032066575,5.704990929261666,2277596.0
Ecuador,Americas,2025,4.0066999999999995,4.1534260587739915,3.6620175898867346,696223.0
Egypt,Africa,2025,7.360399999999999,7.32377353532546,-0.4976151387769634,3260919.0
El Salvador,Americas,2025,2.8192,2.9129748096526424,3.326291488813937,317461.0
Estonia,Europe,2025,3.7329,3.9821802290075046,6.677924107463484,349200.0
Finland,Europe,2025,3.6201,3.784031380499115,4.52836608102305,905200.0
France,Europe,2025,6.2808,6.830354194394401,8.749748350439447,8526600.0
Georgia,Asia,2025,2.816,2.799039043134883,-0.6023067068578469,148643.0
Gabon,Africa,2025,1.5873,1.6109146497025117,1.487724418982661,30075.0
Gambia,Africa,2025,1.005,0.9562975593403233,-4.846013995987719,124224.0
Germany,Europe,2025,6.7905,7.086497083061678,4.358988043025969,5739700.0
Bosnia and Herzegovina,Europe,2025,5.3617,5.794382879158576,8.069882297752141,224321.0
Ghana,Africa,2025,2.6321999999999997,2.6016029500111832,-1.162413569972509,2357040.0
Greece,Europe,2025,4.0529,4.2999576379462106,6.095823680480894,709120.0
Guatemala,Americas,2025,2.2375,2.2386952056161027,0.05341701077554717,1041865.0
Guinea,Africa,2025,1.351,1.413884113432857,4.654634599027174,3985943.0
Guyana,Americas,2025,6.562600000000001,6.458364619234839,-1.5883244562393206,170633.0
Haiti,Americas,2025,1.0644,1.26497606954827,18.844050126669476,303470.0
Honduras,Americas,2025,1.8868,2.039697317888719,8.103525434000392,408130.0
Hungary,Europe,2025,5.6297,5.866396164846801,4.204418794017473,2254010.0
Croatia,Europe,2025,6.5705,6.5728938096173195,0.036432685751752736,500040.0
India,Asia,2025,3.6325,3.736754361059206,2.8700443512513774,107673781.0
Indonesia,Asia,2025,5.421399999999999,5.4803389154564215,1.0871530500686566,12594789.0
Iran (Islamic Republic of),Asia,2025,2.7248,2.8650793514641855,5.1482439615452735,8995601.0
Iraq,Asia,2025,2.651,2.8627405583735888,7.987195713828332,2433650.0
Ireland,Europe,2025,7.3247,7.631049321616272,4.18241459194606,258930.0
Israel,Asia,2025,2.6194,3.416552056227888,30.432620303423974,66837.0
Italy,Europe,2025,4.9818,5.240220789679824,5.187297556702886,2837490.0
Côte d'Ivoire,Africa,2025,2.5416,2.486189207147325,-2.180153952340058,1639929.0
Kazakhstan,Asia,2025,1.5295,1.4691739865721904,-3.9441656376469236,16061052.0
Japan,Asia,2025,6.2477,6.379225254223893,2.105178773370886,1824306.0
Jordan,Asia,2025,1.6114000000000002,1.7320766724282708,7.488933376459639,52137.0
Kyrgyzstan,Asia,2025,3.4894000000000003,3.4033788294796548,-2.4652138052486228,611459.0
Kenya,Africa,2025,1.6930999999999998,1.7612322024051492,4.024109763460482,2940254.0
Cambodia,Asia,2025,3.778,3.786328281064407,0.22044153161480118,4123864.0
Democratic People's Republic of Korea,Asia,2025,3.6098000000000003,3.8148838087593715,5.681306686225573,1353402.0
Republic of Korea,Asia,2025,6.5443999999999996,6.6776608852019494,2.036258254415224,761624.0
Latvia,Europe,2025,3.9738,4.142371114601131,4.2420633801683705,793300.0
Lao People's Democratic Republic,Asia,2025,4.1964,4.247601915511245,1.2201390599381634,1016601.0
Lebanon,Asia,2025,2.661,2.781100691967048,4.513366853327616,45032.0
Lesotho,Africa,2025,0.6035,0.6904402301611405,14.406003340702656,111896.0
Liberia,Africa,2025,1.1117000000000001,1.1590001225391133,4.254756007836025,290000.0
Libya,Africa,2025,0.6597000000000001,0.7748385397367827,17.453166550975084,249794.0
Lithuania,Europe,2025,4.3873999999999995,4.443645941072296,1.2819879899780284,1300960.0
Madagascar,Africa,2025,2.3933,2.5399804106821264,6.128793326458304,2188339.0
Malawi,Africa,2025,1.8775,1.9462455072286395,3.661544992204502,1746689.0
Malaysia,Asia,2025,3.5436,3.631623227898662,2.4840057539976756,593828.0
Mali,Africa,2025,1.6562999999999999,1.7257644060536868,4.193950736804131,6303378.0
Mauritania,Africa,2025,1.5374,1.6372015941975684,6.491582814984276,370911.0
Mexico,Americas,2025,3.7517,4.094940335837322,9.148928108252829,8700684.0
Mongolia,Asia,2025,1.2506,1.3689673732095706,9.464846730335097,354364.0
Morocco,Africa,2025,1.2401,1.385578647050522,11.731202890937986,2584760.0
Mozambique,Africa,2025,0.7764,0.8839941926310626,13.85808766500034,3420998.0
Republic of Moldova,Europe,2025,2.4061999999999997,2.9065016695285357,20.7921897401935,885160.0
Namibia,Africa,2025,0.1844,0.405642004079505,119.97939483704174,332033.0
Nepal,Asia,2025,3.521,3.4900258428619098,-0.8796977318401011,3273282.0
Netherlands (Kingdom of the),Europe,2025,6.8057,7.759585565090896,14.015980209102619,153500.0
North Macedonia,Europe,2025,3.5654,3.701162680210905,3.8077825829052836,149249.0
New Zealand,Oceania,2025,9.101899999999999,8.892780620549996,-2.297535453586652,121170.0
Niger,Africa,2025,0.5774,0.6065146547291209,5.0423717923659295,10331974.0
Nigeria,Africa,2025,1.558,1.6672691204845396,7.013422367428723,18275835.0
Norway,Europe,2025,4.219600000000001,4.197361447192384,-0.527029879789942,279979.0
Pakistan,Asia,2025,3.6206,3.6960252133885363,2.083224144852691,15448713.0
Panama,Americas,2025,4.2264,4.269198059158885,1.0126362662995714,109277.0
Czechia,Europe,2025,5.751399999999999,6.0301627109809735,4.846867040737446,1307640.0
Paraguay,Americas,2025,3.6173,4.033832424677682,11.51500911391594,1605131.0
Peru,Americas,2025,4.850899999999999,4.89449899590385,0.8987815849399228,1221107.0
Philippines,Asia,2025,3.8333000000000004,3.9218280681825357,2.309447947787424,7102488.0
Poland,Europe,2025,4.8511999999999995,4.9269247994836505,1.5609498574301384,7079790.0
Portugal,Europe,2025,5.3088,5.4343205067277776,2.36438567525199,191630.0
Guinea-Bissau,Africa,2025,1.3334000000000001,1.4051679035565705,5.382323650560239,242659.0
Timor-Leste,Asia,2025,2.1121999999999996,2.2017956794383555,4.241817983067708,62493.0
Eritrea,Africa,2025,0.638,0.6534775295074922,2.4259450638702384,478367.0
Zimbabwe,Africa,2025,1.0697999999999999,1.075406363118766,0.5240571245808789,1255304.0
Romania,Europe,2025,3.5256999999999996,4.06997172469407,15.437267058855554,5066880.0
Rwanda,Africa,2025,1.784,1.6769088046188954,-6.002869696250257,546634.0
Russian Federation,Europe,2025,3.042,3.267543810224314,7.4143264373541795,39579836.0
Saudi Arabia,Asia,2025,5.1052,5.267129846918786,3.1718609832873668,230134.0
Senegal,Africa,2025,2.0035,2.0174337720589124,0.6954715277720291,1953782.0
Sierra Leone,Africa,2025,1.3702999999999999,1.5385953405846717,12.281642018877026,1095776.0
Slovenia,Europe,2025,6.586,6.5565715800063735,-0.4468329789496961,102180.0
Slovakia,Europe,2025,5.5602,5.7665937628550115,3.711984512337896,663130.0
Somalia,Africa,2025,0.36210000000000003,0.5330639973663209,47.214580879956046,353654.0
South Africa,Africa,2025,4.562,4.919949254349674,7.846322980045439,3356840.0
Spain,Europe,2025,3.7859000000000003,3.582979883920167,-5.359891071603395,5510760.0
Suriname,Americas,2025,4.4474,4.577029184311776,2.914718359306012,50824.0
Tajikistan,Asia,2025,4.1239,4.049568267869316,-1.8024620415306836,376457.0
Eswatini,Africa,2025,1.0831,1.2249180783789477,13.093719728459764,71758.0
Sweden,Europe,2025,5.2423,5.46302971573501,4.210551012628216,982330.0
Switzerland,Europe,2025,4.5835,5.516220843000728,20.34953295518114,137029.0
Syrian Arab Republic,Asia,2025,1.6068,1.7816668123162216,10.882923345545281,2695375.0
Turkmenistan,Asia,2025,1.7117,2.071956969374976,21.046735372727454,868613.0
