year,production_mt,area_mha,yield_t_ha
1961,876.874515,647.997176,1.3532
1962,933.372941,653.83949,1.4275
1963,949.345879,659.234457,1.4401
1964,1001.214043,670.231853,1.4938
1965,998.593005,667.195164,1.4967000000000001
1966,1078.340172,669.678967,1.6102
1967,1124.081315,679.890939,1.6533
1968,1160.679018,684.204592,1.6964000000000001
1969,1170.980071,685.279115,1.7087999999999999
1970,1192.507676,675.463516,1.7655
1971,1299.667684,686.870079,1.8922
1972,1258.478713,677.270402,1.8582
1973,1357.015148,699.334869,1.9404000000000001
1974,1326.549441,700.898893,1.8925999999999998
1975,1359.804022,710.954379,1.9125999999999999
1976,1463.711074,722.485242,2.0259
1977,1456.344192,719.085327,2.0253
1978,1582.019605,714.992381,2.2126
1979,1537.501598,706.546763,2.1761
1980,1549.912159,717.195668,2.1611
1981,1632.382028,726.548086,2.2468000000000004
1982,1692.53987,714.356169,2.3693
1983,1626.946244,704.733493,2.3085999999999998
1984,1786.795469,714.977689,2.4991
1985,1821.240859,720.193262,2.5288000000000004
1986,1834.022428,717.353012,2.5566999999999998
1987,1771.529017,697.528694,2.5397
1988,1727.627534,702.303437,2.4599
1989,1871.355594,711.767307,2.6292
1990,1952.57377969,708.073621,2.7576
1991,1888.07711726,703.611018,2.6834000000000002
1992,1974.32939797,707.884119,2.7891
1993,1900.37842277,694.153666,2.7377
1994,1957.4264198800001,695.566668,2.8141
1995,1894.87028716,684.74262,2.7673
1996,2051.72332471,701.289871,2.9255999999999998
1997,2093.98160161,699.442432,2.9938000000000002
1998,2073.61716683,679.633717,3.0511
1999,2084.7065181,669.768871,3.1126
2000,2057.90291852,672.758397,3.0589
2001,2106.8305197,672.027885,3.135
2002,2037.23842451,661.805355,3.0783
2003,2098.75076718,673.033895,3.1183
2004,2277.1302392199996,677.006115,3.3635
2005,2263.87581095,690.240504,3.2798000000000003
2006,2235.48981062,681.312907,3.2811
2007,2349.0241024499996,697.025981,3.3701
2008,2519.3550481999996,710.694494,3.5449
2009,2489.05350631,699.393843,3.5589
2010,2470.96156747,693.822491,3.5614
2011,2588.49761363,708.15504,3.6553
2012,2543.2821891999997,704.094982,3.6121
2013,2766.18160094,722.197711,3.8301999999999996
2014,2825.19802863,725.617721,3.8935
2015,2835.20030602,720.963366,3.9325
2016,2935.9869926,730.898995,4.017
2017,2940.7381422800004,723.241591,4.0661
2018,2899.63898274,720.853363,4.0225
2019,2966.10528682,719.11772,4.1246
2020,3026.0086636,735.633687,4.1135
2021,3075.14690887,737.109024,4.1719
2022,3054.49073477,730.276517,4.182600000000001
2023,3126.2723615100003,739.375083,4.2283
2024,3133.22274092,744.976122,4.2058
