area,region,year,production_mt,share_pct
"China, mainland",Asia,2024,651.35574338,20.788683002752116
United States of America,Americas,2024,454.98791606,14.521403477570926
India,Asia,2024,391.12385783999997,12.48311691128462
Brazil,Americas,2024,138.98089851,4.43571715138233
Russian Federation,Europe,2024,120.40017212000001,3.8426943143099748
Argentina,Americas,2024,85.72734571,2.736075689429858
Indonesia,Asia,2024,68.281639,2.1792781632866176
Bangladesh,Asia,2024,66.34785085,2.117559341807868
Canada,Americas,2024,63.660405,2.0317867660218614
Pakistan,Asia,2024,55.933133,1.785162997494921
Ukraine,Europe,2024,55.65188,1.7761865210916694
France,Europe,2024,53.55347,1.709213625338211
Australia,Oceania,2024,52.35044671,1.6708179098249643
Viet Nam,Asia,2024,47.853478,1.5272925660544934
Türkiye,Asia,2024,39.017292,1.2452766760062342
