region,item,year,yield_t_ha
Africa,Maize (corn),1961,1.0444
Africa,Maize (corn),1962,1.1112
Africa,Maize (corn),1963,1.1094000000000002
Africa,Maize (corn),1964,0.9796
Africa,Maize (corn),1965,1.0272000000000001
Africa,Maize (corn),1966,1.0729000000000002
Africa,Maize (corn),1967,1.3685
Africa,Maize (corn),1968,1.0753
Africa,Maize (corn),1969,1.1412
Africa,Maize (corn),1970,1.1382
Africa,Maize (corn),1971,1.3477000000000001
Africa,Maize (corn),1972,1.3791
Africa,Maize (corn),1973,1.0654000000000001
Africa,Maize (corn),1974,1.4605
Africa,Maize (corn),1975,1.4205999999999999
Africa,Maize (corn),1976,1.3860999999999999
Africa,Maize (corn),1977,1.5092999999999999
Africa,Maize (corn),1978,1.5377
Africa,Maize (corn),1979,1.3985
Africa,Maize (corn),1980,1.5579
Africa,Maize (corn),1981,1.8503
Africa,Maize (corn),1982,1.4669
Africa,Maize (corn),1983,1.1567
Africa,Maize (corn),1984,1.2021
Africa,Maize (corn),1985,1.4990999999999999
Africa,Maize (corn),1986,1.4493
Africa,Maize (corn),1987,1.3412
Africa,Maize (corn),1988,1.5070999999999999
Africa,Maize (corn),1989,1.6927
Africa,Maize (corn),1990,1.5132
Africa,Maize (corn),1991,1.4927000000000001
Africa,Maize (corn),1992,1.136
Africa,Maize (corn),1993,1.557
Africa,Maize (corn),1994,1.6024
Africa,Maize (corn),1995,1.3934000000000002
Africa,Maize (corn),1996,1.7152
Africa,Maize (corn),1997,1.6209
Africa,Maize (corn),1998,1.591
Africa,Maize (corn),1999,1.7458
Africa,Maize (corn),2000,1.8062
Africa,Maize (corn),2001,1.7287000000000001
Africa,Maize (corn),2002,1.7577
Africa,Maize (corn),2003,1.6127
Africa,Maize (corn),2004,1.7381
Africa,Maize (corn),2005,1.7019000000000002
Africa,Maize (corn),2006,1.7823
Africa,Maize (corn),2007,1.7284000000000002
Africa,Maize (corn),2008,1.8742999999999999
Africa,Maize (corn),2009,2.0048
Africa,Maize (corn),2010,2.0233
Africa,Maize (corn),2011,1.8735
Africa,Maize (corn),2012,1.987
Africa,Maize (corn),2013,1.9013
Africa,Maize (corn),2014,2.0865
Africa,Maize (corn),2015,1.9534
Africa,Maize (corn),2016,1.8848
Africa,Maize (corn),2017,2.1533
Africa,Maize (corn),2018,1.9839
Africa,Maize (corn),2019,2.0182
Africa,Maize (corn),2020,2.1669
Africa,Maize (corn),2021,2.2192
Africa,Maize (corn),2022,2.1885
Africa,Maize (corn),2023,2.1437
Africa,Maize (corn),2024,2.0696999999999997
Americas,Maize (corn),1961,2.6789
Americas,Maize (corn),1962,2.7199
Americas,Maize (corn),1963,2.8135
Americas,Maize (corn),1964,2.5828
Americas,Maize (corn),1965,2.9233000000000002
Americas,Maize (corn),1966,2.9125
Americas,Maize (corn),1967,3.2078
Americas,Maize (corn),1968,3.0796
Americas,Maize (corn),1969,3.2540999999999998
Americas,Maize (corn),1970,2.9503000000000004
Americas,Maize (corn),1971,3.4796
Americas,Maize (corn),1972,3.648
Americas,Maize (corn),1973,3.6327
Americas,Maize (corn),1974,3.1015
Americas,Maize (corn),1975,3.6016999999999997
Americas,Maize (corn),1976,3.6758
Americas,Maize (corn),1977,3.8035
Americas,Maize (corn),1978,4.1377
Americas,Maize (corn),1979,4.551399999999999
Americas,Maize (corn),1980,3.9573
Americas,Maize (corn),1981,4.6
Americas,Maize (corn),1982,4.704
Americas,Maize (corn),1983,3.3913
Americas,Maize (corn),1984,4.4736
Americas,Maize (corn),1985,4.9133000000000004
Americas,Maize (corn),1986,4.7891
Americas,Maize (corn),1987,4.5805
Americas,Maize (corn),1988,3.5583
Americas,Maize (corn),1989,4.6901
Americas,Maize (corn),1990,4.8706000000000005
Americas,Maize (corn),1991,4.5156
Americas,Maize (corn),1992,5.4038
Americas,Maize (corn),1993,4.4306
Americas,Maize (corn),1994,5.589
Americas,Maize (corn),1995,4.7762
Americas,Maize (corn),1996,5.3487
Americas,Maize (corn),1997,5.3899
Americas,Maize (corn),1998,5.8726
Americas,Maize (corn),1999,5.7818000000000005
Americas,Maize (corn),2000,5.8536
Americas,Maize (corn),2001,5.9284
Americas,Maize (corn),2002,5.728899999999999
Americas,Maize (corn),2003,6.2799
Americas,Maize (corn),2004,6.852600000000001
Americas,Maize (corn),2005,6.6
Americas,Maize (corn),2006,6.4506000000000006
Americas,Maize (corn),2007,6.8883
Americas,Maize (corn),2008,6.8206999999999995
Americas,Maize (corn),2009,7.1538
Americas,Maize (corn),2010,7.0842
Americas,Maize (corn),2011,6.7986
Americas,Maize (corn),2012,6.169
Americas,Maize (corn),2013,7.344600000000001
Americas,Maize (corn),2014,7.7073
Americas,Maize (corn),2015,7.7971
Americas,Maize (corn),2016,8.2249
Americas,Maize (corn),2017,8.062899999999999
Americas,Maize (corn),2018,7.7871999999999995
Americas,Maize (corn),2019,7.9017
Americas,Maize (corn),2020,7.8973
Americas,Maize (corn),2021,7.7891
Americas,Maize (corn),2022,7.5611999999999995
Americas,Maize (corn),2023,7.8771
Americas,Maize (corn),2024,7.8819
Asia,Maize (corn),1961,1.1369
Asia,Maize (corn),1962,1.1827
Asia,Maize (corn),1963,1.2419
Asia,Maize (corn),1964,1.3197
Asia,Maize (corn),1965,1.322
Asia,Maize (corn),1966,1.4279000000000002
Asia,Maize (corn),1967,1.5737
Asia,Maize (corn),1968,1.4843
Asia,Maize (corn),1969,1.4837
Asia,Maize (corn),1970,1.6969
Asia,Maize (corn),1971,1.6807999999999998
Asia,Maize (corn),1972,1.5794000000000001
Asia,Maize (corn),1973,1.768
Asia,Maize (corn),1974,1.8759000000000001
Asia,Maize (corn),1975,1.9825
Asia,Maize (corn),1976,1.967
Asia,Maize (corn),1977,1.9570999999999998
Asia,Maize (corn),1978,2.137
Asia,Maize (corn),1979,2.2382
Asia,Maize (corn),1980,2.3235
Asia,Maize (corn),1981,2.2992
Asia,Maize (corn),1982,2.4358
Asia,Maize (corn),1983,2.6478
Asia,Maize (corn),1984,2.8476999999999997
Asia,Maize (corn),1985,2.6315
Asia,Maize (corn),1986,2.7361
Asia,Maize (corn),1987,2.8632
Asia,Maize (corn),1988,2.8888000000000003
Asia,Maize (corn),1989,2.9492
Asia,Maize (corn),1990,3.3161
Asia,Maize (corn),1991,3.3744
Asia,Maize (corn),1992,3.3901
Asia,Maize (corn),1993,3.6259
Asia,Maize (corn),1994,3.4673000000000003
Asia,Maize (corn),1995,3.6007
Asia,Maize (corn),1996,3.8527
Asia,Maize (corn),1997,3.4035
Asia,Maize (corn),1998,3.9893
Asia,Maize (corn),1999,3.8145
Asia,Maize (corn),2000,3.5569
Asia,Maize (corn),2001,3.7149
Asia,Maize (corn),2002,3.8146
Asia,Maize (corn),2003,3.8264
