area,region,subregion,yield_t_ha,area_ha,production_t,gap_t_ha,gap_pct,potential_extra_mt
"China, mainland",Asia,Eastern Asia,6.52,44009866.666666664,286988433.3333333,2.581493333333336,28.363404100719023,113.611177400889
Brazil,Americas,Latin America and the Caribbean,5.516,21522809.0,118881657.0,3.5854933333333356,39.3945608925715,77.16988818410672
India,Asia,Southern Asia,3.4222333333333337,10865013.0,37203307.593333334,5.679260000000002,62.399210678980154,61.70523373038002
Nigeria,Africa,Sub-Saharan Africa,2.0671666666666666,5666666.666666667,11721973.333333334,7.034326666666669,77.28760994532766,39.861184444444454
United Republic of Tanzania,Africa,Sub-Saharan Africa,1.766,4647227.0,8210649.666666667,7.335493333333336,80.59659074261806,34.08970267698668
Mexico,Americas,Latin America and the Caribbean,3.9613333333333336,6604429.333333333,26143221.689999998,5.140160000000002,56.47600686773746,33.94782348202667
Democratic Republic of the Congo,Africa,Sub-Saharan Africa,0.7696999999999999,3034594.3333333335,2335674.6666666665,8.331793333333335,91.54314603317843,25.283612835837786
Argentina,Americas,Latin America and the Caribbean,6.141033333333333,8536598.0,52647042.333333336,2.960460000000003,32.52718967729841,25.272256915080025
Angola,Africa,Sub-Saharan Africa,1.1548,2786893.6666666665,3219019.6666666665,7.946693333333336,87.31197224777766,22.146589321608893
Mozambique,Africa,Sub-Saharan Africa,0.9704333333333334,2456182.0,2275401.6666666665,8.131060000000002,89.33764715533862,19.971363212920004
Ethiopia,Africa,Sub-Saharan Africa,3.4471,3390901.0,11688998.233333334,5.654393333333336,62.125995441041184,19.173488008393342
Kenya,Africa,Sub-Saharan Africa,1.6293,2319356.6666666665,3796808.6666666665,7.472193333333336,82.09854207075176,17.330681422288894
Uganda,Africa,Sub-Saharan Africa,2.1852666666666667,2240000.0,4894333.333333333,6.9162266666666685,75.99002068525019,15.492347733333338
Philippines,Asia,South-eastern Asia,3.296533333333333,2507633.6666666665,8266263.973333333,5.804960000000003,63.78030271955373,14.55671312965334
Benin,Africa,Sub-Saharan Africa,1.1155666666666666,1742217.0,1924561.1366666667,7.9859266666666695,87.74303704007548,13.913217199420005
Romania,Europe,Eastern Europe,3.3694,2248116.6666666665,7584326.666666667,5.732093333333335,62.97970149953416,12.886414557555558
Malawi,Africa,Sub-Saharan Africa,2.0028333333333332,1701643.6666666667,3408772.0,7.098660000000002,77.99445365742179,12.079389830820006
Mali,Africa,Sub-Saharan Africa,2.4677000000000002,1520436.3333333333,3748130.3333333335,6.633793333333335,72.88686691707736,10.086260411824446
Cameroon,Africa,Sub-Saharan Africa,1.7863,1233333.3333333333,2200000.0,7.315193333333336,80.37355042102982,9.02207177777778
South Africa,Africa,Sub-Saharan Africa,5.708433333333334,2615116.6666666665,14916666.666666666,3.393060000000002,37.28025584079976,8.873247757000005
