item,year,production_mt
"Beef and Buffalo Meat, primary",1961,28.75317445
"Beef and Buffalo Meat, primary",1962,30.30524102
"Beef and Buffalo Meat, primary",1963,31.97364574
"Beef and Buffalo Meat, primary",1964,32.43462802
"Beef and Buffalo Meat, primary",1965,33.03810573
"Beef and Buffalo Meat, primary",1966,34.751601130000005
"Beef and Buffalo Meat, primary",1967,36.49463643
"Beef and Buffalo Meat, primary",1968,38.22514464
"Beef and Buffalo Meat, primary",1969,39.20859317
"Beef and Buffalo Meat, primary",1970,39.65885363
"Beef and Buffalo Meat, primary",1971,39.41032926
"Beef and Buffalo Meat, primary",1972,39.895933899999996
"Beef and Buffalo Meat, primary",1973,40.25768286
"Beef and Buffalo Meat, primary",1974,43.30914187
"Beef and Buffalo Meat, primary",1975,45.195862979999994
"Beef and Buffalo Meat, primary",1976,47.60355722
"Beef and Buffalo Meat, primary",1977,48.00779779
"Beef and Buffalo Meat, primary",1978,48.535451869999996
"Beef and Buffalo Meat, primary",1979,47.38202106
"Beef and Buffalo Meat, primary",1980,47.20071421
"Beef and Buffalo Meat, primary",1981,47.661205810000006
"Beef and Buffalo Meat, primary",1982,47.757195960000004
"Beef and Buffalo Meat, primary",1983,49.03441318
"Beef and Buffalo Meat, primary",1984,50.4393373
"Beef and Buffalo Meat, primary",1985,51.35100292
"Beef and Buffalo Meat, primary",1986,53.107879020000006
"Beef and Buffalo Meat, primary",1987,53.075239229999994
"Beef and Buffalo Meat, primary",1988,53.56858467
"Beef and Buffalo Meat, primary",1989,53.7955315
"Beef and Buffalo Meat, primary",1990,55.35116746
"Beef and Buffalo Meat, primary",1991,55.297239020000006
"Beef and Buffalo Meat, primary",1992,54.51615031
"Beef and Buffalo Meat, primary",1993,53.42406197
"Beef and Buffalo Meat, primary",1994,53.4881653
"Beef and Buffalo Meat, primary",1995,54.37978965
"Beef and Buffalo Meat, primary",1996,55.15512478
"Beef and Buffalo Meat, primary",1997,56.49326686
"Beef and Buffalo Meat, primary",1998,56.325827950000004
"Beef and Buffalo Meat, primary",1999,57.88213003
"Beef and Buffalo Meat, primary",2000,58.33255245
"Beef and Buffalo Meat, primary",2001,58.194255340000005
"Beef and Buffalo Meat, primary",2002,59.44847883
"Beef and Buffalo Meat, primary",2003,60.41264745
"Beef and Buffalo Meat, primary",2004,62.19131413
"Beef and Buffalo Meat, primary",2005,60.379299759999995
"Beef and Buffalo Meat, primary",2006,62.133556829999996
"Beef and Buffalo Meat, primary",2007,63.85299425
"Beef and Buffalo Meat, primary",2008,64.04319937
"Beef and Buffalo Meat, primary",2009,64.88527038000001
"Beef and Buffalo Meat, primary",2010,65.02726299
"Beef and Buffalo Meat, primary",2011,64.94668958
"Beef and Buffalo Meat, primary",2012,65.83375877
"Beef and Buffalo Meat, primary",2013,67.57751798999999
"Beef and Buffalo Meat, primary",2014,69.6076709
"Beef and Buffalo Meat, primary",2015,67.99462711
"Beef and Buffalo Meat, primary",2016,67.84912136
"Beef and Buffalo Meat, primary",2017,69.20639212
"Beef and Buffalo Meat, primary",2018,70.98085176000001
"Beef and Buffalo Meat, primary",2019,72.05663016
"Beef and Buffalo Meat, primary",2020,70.89559717
"Beef and Buffalo Meat, primary",2021,71.7650073
"Beef and Buffalo Meat, primary",2022,73.18221479
"Beef and Buffalo Meat, primary",2023,74.65903618
"Beef and Buffalo Meat, primary",2024,77.04734452
"Meat of pig with the bone, fresh or chilled",1961,24.747016690000002
"Meat of pig with the bone, fresh or chilled",1962,26.054375620000002
"Meat of pig with the bone, fresh or chilled",1963,28.01530558
"Meat of pig with the bone, fresh or chilled",1964,28.67666245
"Meat of pig with the bone, fresh or chilled",1965,31.28329876
"Meat of pig with the bone, fresh or chilled",1966,32.41082547
"Meat of pig with the bone, fresh or chilled",1967,33.86319561
"Meat of pig with the bone, fresh or chilled",1968,34.40094838
"Meat of pig with the bone, fresh or chilled",1969,34.120350159999994
"Meat of pig with the bone, fresh or chilled",1970,35.79492751
"Meat of pig with the bone, fresh or chilled",1971,39.41657076
"Meat of pig with the bone, fresh or chilled",1972,40.6226486
"Meat of pig with the bone, fresh or chilled",1973,40.46975821
"Meat of pig with the bone, fresh or chilled",1974,42.42975704
"Meat of pig with the bone, fresh or chilled",1975,41.669776950000006
"Meat of pig with the bone, fresh or chilled",1976,40.75039337
"Meat of pig with the bone, fresh or chilled",1977,42.947657590000006
"Meat of pig with the bone, fresh or chilled",1978,45.64135847
"Meat of pig with the bone, fresh or chilled",1979,50.08372944
"Meat of pig with the bone, fresh or chilled",1980,52.67409395
"Meat of pig with the bone, fresh or chilled",1981,52.989798189999995
"Meat of pig with the bone, fresh or chilled",1982,53.195697939999995
"Meat of pig with the bone, fresh or chilled",1983,55.47685703
"Meat of pig with the bone, fresh or chilled",1984,57.486350030000004
"Meat of pig with the bone, fresh or chilled",1985,59.965279869999996
"Meat of pig with the bone, fresh or chilled",1986,60.72057536
"Meat of pig with the bone, fresh or chilled",1987,63.42229014
"Meat of pig with the bone, fresh or chilled",1988,66.89505214
"Meat of pig with the bone, fresh or chilled",1989,67.97393821
"Meat of pig with the bone, fresh or chilled",1990,69.70112320999999
"Meat of pig with the bone, fresh or chilled",1991,70.72399146
"Meat of pig with the bone, fresh or chilled",1992,72.85352952
"Meat of pig with the bone, fresh or chilled",1993,75.25853479999999
"Meat of pig with the bone, fresh or chilled",1994,78.74722929
"Meat of pig with the bone, fresh or chilled",1995,83.39011771
"Meat of pig with the bone, fresh or chilled",1996,78.73717558
"Meat of pig with the bone, fresh or chilled",1997,82.64285352
"Meat of pig with the bone, fresh or chilled",1998,88.22667881999999
"Meat of pig with the bone, fresh or chilled",1999,90.19049202
"Meat of pig with the bone, fresh or chilled",2000,89.23108424
"Meat of pig with the bone, fresh or chilled",2001,90.09379186
"Meat of pig with the bone, fresh or chilled",2002,92.37135481
"Meat of pig with the bone, fresh or chilled",2003,94.82517787
"Meat of pig with the bone, fresh or chilled",2004,95.77390831
"Meat of pig with the bone, fresh or chilled",2005,98.08744884999999
"Meat of pig with the bone, fresh or chilled",2006,99.92860475
"Meat of pig with the bone, fresh or chilled",2007,98.57468643000001
"Meat of pig with the bone, fresh or chilled",2008,102.66854012
