area,region,detrended_cv_pct,mean_mt
Morocco,Africa,38.88876710934989,7.034052326000001
Syrian Arab Republic,Asia,34.032657273035234,3.841154586
Iraq,Asia,33.91610042187036,5.341332816
Republic of Moldova,Europe,32.38334718806504,2.674760686666667
Tunisia,Africa,30.1327808150101,1.6459711306666667
Sudan,Africa,29.297439149187035,6.073269432307693
Venezuela (Bolivarian Republic of),Americas,26.93581617706644,2.8688632913333336
Zimbabwe,Africa,25.670878502935178,1.3520854846666666
Mozambique,Africa,24.12051663903609,2.125106066666667
Romania,Europe,23.269613213969766,21.800144266666667
Algeria,Africa,21.12415902604878,4.210509251333335
Sierra Leone,Africa,21.066376038901844,1.2827743286666669
Bosnia and Herzegovina,Europe,20.74482480343658,1.3254719826666668
Australia,Oceania,19.899573656856393,42.042826174666665
Kazakhstan,Asia,19.753333914500487,18.82303890066667
Estonia,Europe,19.751536325824894,1.1943560666666666
Saudi Arabia,Asia,19.594466450129936,1.3257995533333335
Zambia,Africa,19.319057778266526,3.1394325253333335
Spain,Europe,18.961832784625216,21.145670022000004
Norway,Europe,17.0210425670714,1.1559126666666668
Sri Lanka,Asia,16.91330274907001,4.453723576666667
Ukraine,Europe,16.36681677690728,60.94946437933334
Serbia,Europe,15.78317901031804,9.417980676666668
Sweden,Europe,15.749950684475179,5.19704
Malawi,Africa,15.614763305846692,3.693718048
Hungary,Europe,15.297936795120204,13.881506866666667
Latvia,Europe,15.235390099790072,2.55928
Slovakia,Europe,15.10142953286116,3.8620206400000003
Niger,Africa,14.994701503762668,5.228064930666667
Paraguay,Americas,14.790731052132072,6.471608894666667
South Africa,Africa,14.754934933908443,15.705907564666665
Lithuania,Europe,14.393330412595201,4.978275866666666
Uganda,Africa,13.951992208963409,4.018167533333333
Afghanistan,Asia,13.657371813128675,5.699554282666667
Chad,Africa,13.387258813089437,2.739502056666667
Uruguay,Americas,13.232484855218436,3.78770753
Argentina,Americas,12.880443887121197,67.099563964
Côte d'Ivoire,Africa,12.780689609851194,2.9443115333333334
Senegal,Africa,12.761927952411122,2.5484485686666662
Ghana,Africa,12.49820959204192,3.807947145333333
Finland,Europe,12.289856693035546,3.4625079739999998
Angola,Africa,12.248208084624803,2.3621019826666667
Russian Federation,Europe,12.062464806871548,110.02154105
Bolivia (Plurinational State of),Americas,12.020689285641618,2.7565735373333333
Lao People's Democratic Republic,Asia,11.759226406093191,4.641705249333334
Ireland,Europe,11.65260884026934,2.241588968
Belarus,Europe,11.25896555018503,7.53375137
Turkmenistan,Asia,10.94597965897202,1.5067432199999997
Kyrgyzstan,Asia,10.71490217276781,1.686444748
Madagascar,Africa,10.710138873164535,4.583994094
Iran (Islamic Republic of),Asia,10.621786160312755,19.689005205999997
Denmark,Europe,10.32116112063757,8.920997466666666
Ecuador,Americas,9.973134068918199,2.6377991093333337
Netherlands (Kingdom of the),Europe,9.929843966366139,1.5195049333333333
Canada,Americas,9.921527140490715,57.14179329933334
Kenya,Africa,9.604602391573374,4.422362494666666
Belgium,Europe,9.577778446257664,2.7430524
Bulgaria,Europe,9.533886394039035,9.252516314666666
Croatia,Europe,9.44440889519352,3.1617505793333334
United Kingdom of Great Britain and Northern Ireland,Europe,9.41984034467967,21.9987294
Brazil,Americas,9.268978760749366,109.71753347600001
Mali,Africa,8.807260917771556,8.555912423333334
Chile,Americas,8.497024726007977,3.3344301513333336
France,Europe,8.465403031311602,64.58644177533334
Greece,Europe,8.460175832751151,3.813557376666667
Azerbaijan,Asia,8.132911201843326,2.891556118000001
Portugal,Europe,8.078938674320243,1.1391465333333335
Czechia,Europe,8.01969962430401,7.80178058
Egypt,Africa,7.861542451120989,22.465066772000004
Burkina Faso,Africa,7.823901262001169,4.718761864666667
United Republic of Tanzania,Africa,7.56255186187908,10.797996734
Austria,Europe,7.469306247023152,5.179070491999999
Democratic People's Republic of Korea,Asia,7.437204597260683,4.861849240000001
Thailand,Asia,7.179871220309758,38.660134168
Nigeria,Africa,7.143684196408145,26.558167462666667
Germany,Europe,7.126534160905251,44.24689593333333
"China, Taiwan Province of",Asia,7.097202101879408,1.8351091806666666
Uzbekistan,Asia,7.004171569220759,7.482567042666667
United States of America,Americas,6.988213783480694,431.08077871666677
Tajikistan,Asia,6.963483704896013,1.3320815480000001
Türkiye,Asia,6.862673863188481,35.951378266666666
Benin,Africa,6.8464499800716485,2.0177201506666664
Poland,Europe,6.809668516477714,30.7329574
Mexico,Americas,6.461251984029122,35.234647122
Ethiopia,Africa,6.397102122411932,27.283279684
New Zealand,Oceania,6.214493553215526,1.0396341260000004
Malaysia,Asia,6.039723697740577,2.4995643286666667
Cambodia,Asia,5.816588105820398,11.5096692
