region,year,pou_pct,undernourished_m
Africa,2001,21.5,183.0
Africa,2002,21.0,183.5
Africa,2003,20.6,184.4
Africa,2004,19.9,182.7
Africa,2005,19.0,178.9
Africa,2006,18.1,174.5
Africa,2007,17.3,171.8
Africa,2008,16.7,169.7
Africa,2009,16.2,169.3
Africa,2010,15.9,170.8
Africa,2011,15.9,174.6
Africa,2012,15.8,178.6
Africa,2013,15.7,182.2
Africa,2014,15.8,187.9
Africa,2015,16.2,198.3
Africa,2016,16.6,208.1
Africa,2017,16.9,217.3
Africa,2018,17.1,224.6
Africa,2019,17.6,237.4
Africa,2020,18.2,251.6
Africa,2021,18.7,264.9
Africa,2022,19.3,279.7
Africa,2023,19.8,293.5
Africa,2024,20.1,304.6
Asia,2001,14.7,560.3
Asia,2002,14.9,574.6
Asia,2003,14.9,579.8
Asia,2004,14.5,571.2
Asia,2005,13.7,547.7
Asia,2006,12.5,505.2
Asia,2007,11.2,459.2
Asia,2008,10.3,427.5
Asia,2009,9.8,409.1
Asia,2010,9.2,391.8
Asia,2011,8.8,377.8
Asia,2012,8.2,357.6
Asia,2013,7.8,342.6
Asia,2014,7.6,338.8
Asia,2015,7.4,333.2
Asia,2016,7.1,322.5
Asia,2017,6.6,303.2
Asia,2018,6.5,298.6
Asia,2019,6.9,322.3
Asia,2020,7.4,346.0
Asia,2021,7.8,366.0
Asia,2022,7.6,359.7
Asia,2023,7.1,338.2
Asia,2024,6.5,314.0
Oceania,2001,6.4,2.0
Oceania,2002,6.5,2.1
Oceania,2003,6.6,2.2
Oceania,2004,6.7,2.2
Oceania,2005,6.5,2.2
Oceania,2006,6.5,2.2
Oceania,2007,6.4,2.2
Oceania,2008,6.5,2.3
Oceania,2009,6.7,2.5
Oceania,2010,7.0,2.6
Oceania,2011,7.1,2.7
Oceania,2012,6.9,2.7
Oceania,2013,6.7,2.6
Oceania,2014,6.8,2.7
Oceania,2015,6.9,2.8
Oceania,2016,7.1,2.9
Oceania,2017,7.2,3.0
Oceania,2018,7.3,3.1
Oceania,2019,7.3,3.2
Oceania,2020,7.4,3.3
Oceania,2021,7.4,3.3
Oceania,2022,7.9,3.6
Oceania,2023,8.0,3.6
Oceania,2024,8.2,3.8
World,2001,13.0,813.2
World,2002,13.0,825.8
World,2003,12.9,830.3
World,2004,12.6,816.4
World,2005,11.9,785.5
World,2006,11.0,734.6
World,2007,10.1,682.5
World,2008,9.4,646.1
World,2009,9.0,625.2
World,2010,8.7,607.5
World,2011,8.4,595.2
World,2012,8.0,577.5
World,2013,7.7,564.6
World,2014,7.7,566.1
World,2015,7.7,572.6
World,2016,7.6,573.4
World,2017,7.4,565.0
World,2018,7.3,567.1
World,2019,7.8,605.5
World,2020,8.2,644.3
World,2021,8.5,679.0
World,2022,8.6,686.7
World,2023,8.4,677.6
World,2024,8.1,663.3
