area,region,year,pou_pct,undernourished_m,pou_pct_2010,change_pp
Somalia,Africa,2024,56.5,10.7,72.5,-16.0
Haiti,Americas,2024,51.4,6.1,39.5,11.899999999999999
Madagascar,Africa,2024,41.8,13.3,28.2,13.599999999999998
Zambia,Africa,2024,41.0,8.7,43.8,-2.799999999999997
Syrian Arab Republic,Asia,2024,40.8,10.1,5.5,35.3
Democratic Republic of the Congo,Africa,2024,39.5,43.2,29.6,9.899999999999999
Liberia,Africa,2024,37.3,2.1,35.2,2.0999999999999943
Kenya,Africa,2024,34.9,19.7,22.3,12.599999999999998
Chad,Africa,2024,33.6,6.8,24.1,9.5
Papua New Guinea,Oceania,2024,30.5,3.2,29.9,0.6000000000000014
Central African Republic,Africa,2024,29.8,1.6,26.7,3.1000000000000014
Afghanistan,Asia,2024,27.8,11.9,17.7,10.100000000000001
Solomon Islands,Oceania,2024,27.0,0.2,16.2,10.8
Sierra Leone,Africa,2024,25.3,2.2,21.7,3.6000000000000014
Congo,Africa,2024,25.0,1.6,39.3,-14.299999999999997
Malawi,Africa,2024,24.5,5.3,14.1,10.4
Gabon,Africa,2024,23.3,0.6,14.2,9.100000000000001
Sao Tome and Principe,Africa,2024,23.0,,16.4,6.600000000000001
Rwanda,Africa,2024,22.6,3.2,25.3,-2.6999999999999993
Mozambique,Africa,2024,22.3,7.7,20.0,2.3000000000000007
Nigeria,Africa,2024,22.2,51.6,10.5,11.7
Uganda,Africa,2024,20.9,10.4,18.2,2.6999999999999993
Namibia,Africa,2024,20.1,0.6,27.4,-7.299999999999997
Guinea-Bissau,Africa,2024,20.0,0.4,18.0,2.0
Ethiopia,Africa,2024,19.9,26.3,23.1,-3.200000000000003
Bolivia (Plurinational State of),Americas,2024,19.5,2.4,19.9,-0.3999999999999986
United Republic of Tanzania,Africa,2024,19.1,13.1,23.7,-4.599999999999998
Libya,Africa,2024,18.7,1.4,7.1,11.6
Zimbabwe,Africa,2024,18.4,3.1,29.2,-10.8
Botswana,Africa,2024,18.2,0.5,20.5,-2.3000000000000007
Gambia,Africa,2024,17.5,0.5,9.4,8.1
Angola,Africa,2024,17.4,6.6,16.2,1.1999999999999993
Timor-Leste,Asia,2024,16.9,0.2,15.7,1.1999999999999993
Comoros,Africa,2024,16.5,0.1,15.4,1.0999999999999996
Pakistan,Asia,2024,16.1,40.4,15.5,0.6000000000000014
Eswatini,Africa,2024,15.1,0.2,26.6,-11.500000000000002
Djibouti,Africa,2024,14.7,0.2,20.3,-5.600000000000001
Honduras,Americas,2024,14.3,1.5,13.2,1.1000000000000014
Iraq,Asia,2024,13.4,6.2,13.1,0.3000000000000007
Niger,Africa,2024,12.9,3.5,14.6,-1.6999999999999993
Suriname,Americas,2024,12.7,,7.9,4.799999999999999
Guatemala,Americas,2024,12.7,2.3,15.3,-2.6000000000000014
Jordan,Asia,2024,12.2,1.4,8.1,4.1
Mali,Africa,2024,12.1,3.0,7.0,5.1
Burkina Faso,Africa,2024,11.7,2.8,15.2,-3.5
Côte d'Ivoire,Africa,2024,11.4,3.6,16.8,-5.4
South Africa,Africa,2024,11.2,7.2,4.1,7.1
Lebanon,Asia,2024,11.1,0.6,4.1,7.0
Benin,Africa,2024,11.1,1.6,10.5,0.5999999999999996
Mauritania,Africa,2024,11.0,0.6,6.8,4.2
Ecuador,Americas,2024,10.8,2.0,8.4,2.4000000000000004
Trinidad and Tobago,Americas,2024,10.4,0.2,7.4,3.0
Togo,Africa,2024,10.2,0.9,19.5,-9.3
Lao People's Democratic Republic,Asia,2024,10.0,0.8,9.9,0.09999999999999964
India,Asia,2024,9.8,142.5,14.6,-4.799999999999999
Guinea,Africa,2024,8.7,1.3,15.7,-7.0
Egypt,Africa,2024,8.4,9.8,5.1,3.3000000000000007
Bangladesh,Asia,2024,8.2,14.3,18.2,-10.0
Cabo Verde,Africa,2024,8.1,,14.2,-6.1
Jamaica,Americas,2024,8.0,0.2,8.4,-0.40000000000000036
Tajikistan,Asia,2024,8.0,0.8,24.5,-16.5
Fiji,Oceania,2024,7.2,,7.3,-0.09999999999999964
Oman,Asia,2024,7.1,0.4,3.5,3.5999999999999996
Iran (Islamic Republic of),Asia,2024,6.7,6.2,9.4,-2.7
Morocco,Africa,2024,6.5,2.5,4.7,1.7999999999999998
Ghana,Africa,2024,6.4,2.2,6.9,-0.5
Indonesia,Asia,2024,6.3,18.0,12.9,-6.6000000000000005
Viet Nam,Asia,2024,6.1,6.1,10.4,-4.300000000000001
Vanuatu,Oceania,2024,5.8,,5.6,0.20000000000000018
Peru,Americas,2024,5.7,2.0,8.5,-2.8
Albania,Europe,2024,5.6,0.2,5.4,0.1999999999999993
Thailand,Asia,2024,5.4,3.9,10.2,-4.799999999999999
Senegal,Africa,2024,5.3,1.0,11.1,-5.8
El Salvador,Americas,2024,5.3,0.3,9.0,-3.7
Nepal,Asia,2024,5.2,1.5,10.8,-5.6000000000000005
