region,year,fies_mod_sev_f_pct,fies_mod_sev_m_pct,gap_pp
Africa,2015,46.2,43.9,2.3000000000000043
Africa,2016,48.0,46.2,1.7999999999999972
Africa,2017,49.8,48.1,1.6999999999999957
Africa,2018,50.3,48.7,1.5999999999999943
Africa,2019,51.4,49.8,1.6000000000000014
Africa,2020,53.5,52.0,1.5
Africa,2021,55.3,54.1,1.1999999999999957
Africa,2022,56.3,55.2,1.0999999999999943
Africa,2023,56.8,55.7,1.0999999999999943
Africa,2024,56.7,55.5,1.2000000000000028
Asia,2015,17.4,16.3,1.0999999999999979
Asia,2016,17.9,16.8,1.0999999999999979
Asia,2017,18.8,18.1,0.6999999999999993
Asia,2018,20.0,19.2,0.8000000000000007
Asia,2019,22.4,21.1,1.2999999999999972
Asia,2020,23.9,21.4,2.5
Asia,2021,24.5,21.9,2.6000000000000014
Asia,2022,23.3,21.4,1.9000000000000021
Asia,2023,22.3,21.2,1.1000000000000014
Asia,2024,21.2,20.5,0.6999999999999993
Europe,2015,9.1,6.5,2.5999999999999996
Europe,2016,8.6,6.8,1.7999999999999998
Europe,2017,7.7,6.7,1.0
Europe,2018,7.0,6.4,0.5999999999999996
Europe,2019,6.7,6.1,0.6000000000000005
Europe,2020,6.9,6.1,0.8000000000000007
Europe,2021,7.7,6.3,1.4000000000000004
Europe,2022,7.9,6.7,1.2000000000000002
Europe,2023,7.9,7.0,0.9000000000000004
Europe,2024,7.8,7.1,0.7000000000000002
Oceania,2015,21.3,19.4,1.9000000000000021
Oceania,2016,21.9,20.5,1.3999999999999986
Oceania,2017,22.8,21.5,1.3000000000000007
Oceania,2018,22.7,22.6,0.09999999999999787
Oceania,2019,22.3,21.9,0.40000000000000213
Oceania,2020,21.9,22.4,-0.5
Oceania,2021,21.7,22.6,-0.9000000000000021
Oceania,2022,23.0,23.7,-0.6999999999999993
Oceania,2023,24.4,23.9,0.5
Oceania,2024,25.2,25.1,0.09999999999999787
World,2015,20.3,18.6,1.6999999999999993
World,2016,21.0,19.4,1.6000000000000014
World,2017,21.8,20.5,1.3000000000000007
World,2018,22.5,21.3,1.1999999999999993
World,2019,24.3,22.8,1.5
World,2020,25.8,23.4,2.400000000000002
World,2021,26.7,24.1,2.599999999999998
World,2022,26.2,24.0,2.1999999999999993
World,2023,25.5,23.9,1.6000000000000014
World,2024,24.7,23.5,1.1999999999999993
