region,year,obesity_pct
Africa,2000,8.7
Africa,2001,9.1
Africa,2002,9.4
Africa,2003,9.8
Africa,2004,10.2
Africa,2005,10.5
Africa,2006,10.9
Africa,2007,11.2
Africa,2008,11.5
Africa,2009,11.8
Africa,2010,12.1
Africa,2011,12.4
Africa,2012,12.7
Africa,2013,13.0
Africa,2014,13.3
Africa,2015,13.6
Africa,2016,14.0
Africa,2017,14.3
Africa,2018,14.6
Africa,2019,14.9
Africa,2020,15.2
Africa,2021,15.5
Africa,2022,15.9
Africa,2023,16.2
Africa,2024,16.6
Asia,2000,3.5
Asia,2001,3.7
Asia,2002,3.9
Asia,2003,4.1
Asia,2004,4.3
Asia,2005,4.5
Asia,2006,4.7
Asia,2007,5.0
Asia,2008,5.3
Asia,2009,5.5
Asia,2010,5.8
Asia,2011,6.1
Asia,2012,6.4
Asia,2013,6.7
Asia,2014,7.1
Asia,2015,7.4
Asia,2016,7.8
Asia,2017,8.2
Asia,2018,8.6
Asia,2019,9.0
Asia,2020,9.4
Asia,2021,9.8
Asia,2022,10.2
Asia,2023,10.7
Asia,2024,11.2
Europe,2000,16.4
Europe,2001,16.7
Europe,2002,17.1
Europe,2003,17.4
Europe,2004,17.7
Europe,2005,18.0
Europe,2006,18.3
Europe,2007,18.6
Europe,2008,18.8
Europe,2009,19.0
Europe,2010,19.2
Europe,2011,19.3
Europe,2012,19.4
Europe,2013,19.5
Europe,2014,19.6
Europe,2015,19.6
Europe,2016,19.6
Europe,2017,19.7
Europe,2018,19.7
Europe,2019,19.6
Europe,2020,19.6
Europe,2021,19.6
Europe,2022,19.6
Europe,2023,19.6
Europe,2024,19.6
Oceania,2000,20.3
Oceania,2001,20.9
Oceania,2002,21.5
Oceania,2003,22.1
Oceania,2004,22.7
Oceania,2005,23.3
Oceania,2006,23.8
Oceania,2007,24.3
Oceania,2008,24.8
Oceania,2009,25.2
Oceania,2010,25.7
Oceania,2011,26.1
Oceania,2012,26.5
Oceania,2013,26.8
Oceania,2014,27.2
Oceania,2015,27.7
Oceania,2016,28.1
Oceania,2017,28.5
Oceania,2018,28.9
Oceania,2019,29.3
Oceania,2020,29.7
Oceania,2021,30.0
Oceania,2022,30.4
Oceania,2023,30.8
Oceania,2024,31.2
World,2000,8.7
World,2001,9.0
World,2002,9.3
World,2003,9.5
World,2004,9.8
World,2005,10.1
World,2006,10.4
World,2007,10.6
World,2008,10.9
World,2009,11.2
World,2010,11.5
World,2011,11.8
World,2012,12.1
World,2013,12.4
World,2014,12.7
World,2015,13.0
World,2016,13.3
World,2017,13.6
World,2018,14.0
World,2019,14.3
World,2020,14.6
World,2021,15.0
World,2022,15.4
World,2023,15.8
World,2024,16.2
