area,region,year,cereal_import_dep_pct,food_import_share_pct,population_m
Antigua and Barbuda,Americas,2022,100.0,656.0,0.09284
Barbados,Americas,2022,100.0,86.0,0.282318
Solomon Islands,Oceania,2022,100.0,26.0,0.781066
Cabo Verde,Africa,2022,100.0,514.0,0.519741
Dominica,Americas,2008,100.0,111.0,0.068854
Djibouti,Africa,2022,100.0,43.0,1.137096
Grenada,Americas,2022,100.0,309.0,0.116913
"China, Hong Kong SAR",Asia,2022,100.0,3.0,7.465915
Jordan,Asia,2022,100.0,36.0,11.256263
Libya,Africa,2022,100.0,11.0,7.223805
Marshall Islands,Oceania,2021,100.0,,0.041367
Malta,Europe,2022,100.0,21.0,0.528192
Micronesia (Federated States of),Oceania,2022,100.0,,0.112114
Republic of Moldova,Europe,2022,100.0,24.0,3.039985
Qatar,Asia,2022,100.0,3.0,2.892455
Saint Lucia,Americas,2022,100.0,199.0,0.178781
Trinidad and Tobago,Americas,2022,100.0,10.0,1.495921
United Arab Emirates,Asia,2022,100.0,4.0,10.242086
Kuwait,Asia,2022,99.4,6.0,4.589511
Jamaica,Americas,2022,99.3,68.0,2.839144
Cyprus,Asia,2022,98.5,31.0,1.33137
Saint Vincent and the Grenadines,Americas,2022,98.5,208.0,0.102046
Bahamas,Americas,2022,98.4,94.0,0.397538
Vanuatu,Oceania,2022,98.2,148.0,0.313046
Maldives,Asia,2022,97.3,163.0,0.524106
Montenegro,Europe,2022,96.1,113.0,0.614648
Tonga,Oceania,2021,96.0,390.0,0.10549
Papua New Guinea,Oceania,2022,95.2,7.0,10.203169
Israel,Asia,2022,93.7,11.0,9.103151
Yemen,Asia,2022,93.4,397.0,38.222876
Iceland,Europe,2022,93.1,10.0,0.380356
Fiji,Oceania,2022,92.6,47.0,0.919422
Costa Rica,Americas,2022,92.5,13.0,5.081765
New Caledonia,Oceania,2022,91.7,17.0,0.287123
Mauritius,Africa,2022,90.9,42.0,1.27613
Gabon,Africa,2022,90.6,7.0,2.430747
Netherlands (Kingdom of the),Europe,2022,90.3,8.0,17.904421
Gambia,Africa,2022,89.6,301.0,2.63647
Saudi Arabia,Asia,2022,89.3,7.0,32.175352
Congo,Africa,2022,88.7,9.0,6.035104
Oman,Asia,2022,88.6,8.0,4.730226
Tunisia,Africa,2022,87.0,15.0,12.119334
Lebanon,Asia,2022,86.6,61.0,5.744489
Sao Tome and Principe,Africa,2015,85.7,326.0,0.200291
Algeria,Africa,2022,83.9,21.0,45.477389
Brunei Darussalam,Asia,2008,83.5,3.0,0.377793
Haiti,Americas,2022,82.9,133.0,11.503606
Botswana,Africa,2022,82.7,13.0,2.439892
Portugal,Europe,2022,80.8,14.0,10.417073
Namibia,Africa,2022,78.7,13.0,2.889662
Republic of Korea,Asia,2022,78.5,5.0,51.782512
Norway,Europe,2022,78.3,3.0,5.456801
"China, Taiwan Province of",Asia,2022,78.3,3.0,23.420111
Comoros,Africa,2017,78.2,230.0,0.756669
Malaysia,Asia,2022,78.1,6.0,34.695493
Japan,Asia,2008,76.8,6.0,128.15599
Cuba,Americas,2015,76.6,53.0,11.275065
Armenia,Asia,2022,75.0,17.0,2.880874
Bhutan,Asia,2022,74.2,26.0,0.780914
Liberia,Africa,2022,72.3,45.0,5.373294
Belgium,Europe,2022,71.7,7.0,11.64182
Lesotho,Africa,2022,68.4,38.0,2.28611
Eswatini,Africa,2022,67.5,18.0,1.218917
Georgia,Asia,2022,66.1,26.0,3.794784
Ireland,Europe,2022,65.8,5.0,5.110016
Honduras,Americas,2022,65.7,20.0,10.463872
Colombia,Americas,2022,65.3,15.0,51.737944
Morocco,Africa,2022,64.6,19.0,37.329064
Switzerland,Europe,2022,64.6,3.0,8.792182
Dominican Republic,Americas,2022,63.0,30.0,11.230734
Iraq,Asia,2022,63.0,12.0,44.070551
Panama,Americas,2022,61.9,14.0,4.400773
Chile,Americas,2022,61.3,9.0,19.553036
Mauritania,Africa,2022,55.3,30.0,4.875637
Guatemala,Americas,2022,54.7,28.0,17.847877
El Salvador,Americas,2022,54.1,38.0,6.280319
Côte d'Ivoire,Africa,2022,52.1,12.0,30.395002
Peru,Americas,2022,52.0,9.0,33.475438000000004
Guinea-Bissau,Africa,2022,50.7,67.0,2.105529
Nicaragua,Americas,2022,50.5,18.0,6.730654
Spain,Europe,2022,50.3,9.0,47.828382
Syrian Arab Republic,Asia,2022,49.8,38.0,22.462173
Kenya,Africa,2022,49.5,44.0,54.252461
Venezuela (Bolivarian Republic of),Americas,2022,49.3,34.0,28.213017
Tajikistan,Asia,2022,48.4,50.0,10.182222
New Zealand,Oceania,2022,48.1,10.0,5.131734
Timor-Leste,Asia,2018,47.7,179.0,1.275959
Mozambique,Africa,2022,47.3,22.0,32.656246
Afghanistan,Asia,2022,46.1,168.0,40.578842
Senegal,Africa,2022,45.6,39.0,17.651103
Egypt,Africa,2022,42.8,37.0,112.61825
Italy,Europe,2022,42.5,7.0,59.619115
Zimbabwe,Africa,2022,41.5,16.0,16.069056
Iran (Islamic Republic of),Asia,2022,40.6,17.0,89.524246
Benin,Africa,2008,39.7,51.0,9.228466
Ecuador,Americas,2022,39.6,7.0,17.823897
Mongolia,Asia,2022,39.3,8.0,3.386015
Luxembourg,Europe,2022,38.7,15.0,0.653313
Mexico,Americas,2022,37.6,6.0,128.613117
Slovenia,Europe,2022,36.9,5.0,2.115228
Bosnia and Herzegovina,Europe,2022,36.6,22.0,3.204802
Albania,Europe,2022,36.4,22.0,2.827608
Angola,Africa,2022,35.7,6.0,35.635029
Rwanda,Africa,2022,35.3,40.0,13.65103
Türkiye,Asia,2022,35.0,7.0,87.058473
Cameroon,Africa,2022,34.6,29.0,27.632771
Azerbaijan,Asia,2022,34.1,7.0,10.295304
Greece,Europe,2022,34.0,15.0,10.41248
Ghana,Africa,2022,32.1,14.0,33.149152
Philippines,Asia,2022,30.7,19.0,113.964339
Guinea,Africa,2022,28.5,14.0,14.055137
Sierra Leone,Africa,2022,28.2,47.0,8.276807000000002
Uzbekistan,Asia,2022,28.0,21.0,34.938955
Kyrgyzstan,Asia,2022,27.4,38.0,6.955788
Sri Lanka,Asia,2022,26.4,18.0,22.834965
North Macedonia,Europe,2022,25.5,12.0,1.840233
Democratic Republic of the Congo,Africa,2022,24.8,4.0,102.396968
Niger,Africa,2022,24.3,60.0,25.311973
United Kingdom of Great Britain and Northern Ireland,Europe,2022,23.8,12.0,68.179315
Turkmenistan,Asia,2022,22.4,5.0,7.230193
Burkina Faso,Africa,2022,20.5,11.0,22.509038
Austria,Europe,2022,20.4,7.0,9.064677
Madagascar,Africa,2022,19.9,26.0,30.43726
Central African Republic,Africa,2008,19.6,31.0,4.558984
Democratic People's Republic of Korea,Asia,2017,19.0,45.0,25.817709
Nepal,Asia,2022,17.3,164.0,29.715436
Nigeria,Africa,2022,16.3,12.0,223.150896
Bangladesh,Asia,2022,16.0,22.0,169.384897
Indonesia,Asia,2022,15.7,7.0,278.830529
Viet Nam,Asia,2022,15.4,6.0,99.680655
Uganda,Africa,2022,15.3,24.0,47.312719
Togo,Africa,2008,13.6,16.0,5.936138
Belize,Americas,2022,13.2,41.0,0.402733
Bolivia (Plurinational State of),Americas,2022,11.0,6.0,12.077154
"China, mainland",Asia,2022,9.2,5.0,1425.179569
Chad,Africa,2008,8.9,3.0,11.476296
Ethiopia,Africa,2022,8.6,90.0,125.384287
Mali,Africa,2008,6.5,19.0,14.940782
Belarus,Europe,2022,3.9,8.0,9.173237
Malawi,Africa,2022,1.9,22.0,20.568728
United Republic of Tanzania,Africa,2022,1.8,15.0,64.711821
South Africa,Africa,2022,0.7,5.0,62.37841
Germany,Europe,2022,0.4,6.0,84.086227
Lao People's Democratic Republic,Asia,2022,-0.3,10.0,7.559007
Finland,Europe,2022,-1.2,6.0,5.569299
Cambodia,Asia,2022,-3.2,5.0,17.201724
Suriname,Americas,2022,-4.3,9.0,0.623164
Denmark,Europe,2022,-7.1,8.0,5.902904
Zambia,Africa,2022,-9.7,5.0,20.152938
Pakistan,Asia,2022,-9.9,30.0,243.700667
Myanmar,Asia,2022,-12.4,10.0,53.756787
India,Asia,2022,-12.4,7.0,1425.423212
Sweden,Europe,2022,-13.4,7.0,10.487338
Thailand,Asia,2022,-18.5,4.0,71.735329
