region,year,n_kg_per_ha,p2o5_kg_per_ha,k2o_kg_per_ha,n_use_mt
Africa,1961,2.12,1.6,0.58,0.352406
Africa,1962,2.27,1.74,0.64,0.379743
Africa,1963,2.62,1.83,0.73,0.443946
Africa,1964,2.98,1.92,0.92,0.509785
Africa,1965,3.24,2.09,0.92,0.558218
Africa,1966,3.14,2.43,1.06,0.544242
Africa,1967,3.45,2.67,1.1,0.599262
Africa,1968,3.84,2.78,1.18,0.674952
Africa,1969,4.13,2.83,1.16,0.73141
Africa,1970,4.69,3.09,1.28,0.834574
Africa,1971,5.3,3.45,1.53,0.952165
Africa,1972,5.83,3.8,1.68,1.055752
Africa,1973,5.79,3.88,1.7,1.054379
Africa,1974,5.88,4.22,1.89,1.07124
Africa,1975,6.65,4.39,1.72,1.226488
Africa,1976,6.95,4.59,1.79,1.292971
Africa,1977,7.04,4.69,1.95,1.316526
Africa,1978,7.31,4.81,1.93,1.379136
Africa,1979,7.86,5.03,1.84,1.486371
Africa,1980,9.26,5.76,2.07,1.756258
Africa,1981,9.83,6.45,2.29,1.869483
Africa,1982,9.68,6.01,2.11,1.852586
Africa,1983,8.92,5.84,2.08,1.713972
Africa,1984,9.32,6.12,2.2,1.804888
Africa,1985,9.62,6.06,2.25,1.899148
Africa,1986,10.29,5.8,2.31,2.041751
Africa,1987,9.79,5.68,2.28,1.944951
Africa,1988,10.48,5.63,2.35,2.099867
Africa,1989,10.04,5.26,2.28,2.025672
Africa,1990,10.27,5.12,2.35,2.09977
Africa,1991,9.93,4.85,2.26,2.060325
Africa,1992,9.64,4.66,2.16,2.03677
Africa,1993,10.59,4.99,2.24,2.284638
Africa,1994,9.16,4.35,2.04,1.993794
Africa,1995,9.45,4.14,1.87,2.116178
Africa,1996,10.2,4.28,2.06,2.313248
Africa,1997,9.9,4.14,2.08,2.25662
Africa,1998,10.2,4.11,2.18,2.338176
Africa,1999,10.37,4.32,2.07,2.411328
Africa,2000,10.55,3.97,2.01,2.464104
Africa,2001,10.6,4.11,2.1,2.488932
Africa,2002,11.66,4.41,2.0,2.759395
Africa,2003,10.89,4.01,2.12,2.645663
Africa,2004,12.3,3.9,2.13,3.025085
Africa,2005,11.71,3.6,1.9,2.916375
Africa,2006,12.07,4.32,2.4,3.029474
Africa,2007,10.85,4.03,2.26,2.76233
Africa,2008,11.0,3.73,2.21,2.840472
Africa,2009,10.98,4.16,1.79,2.879389
Africa,2010,12.07,4.7,1.99,3.258514
Africa,2011,11.59,4.7,1.95,3.153053
Africa,2012,11.3,5.37,2.02,3.141072
Africa,2013,11.86,5.47,2.11,3.339297
Africa,2014,12.03,5.41,2.3,3.427787
Africa,2015,11.85,5.7,2.34,3.43832
Africa,2016,12.98,5.22,2.37,3.806516
Africa,2017,14.83,5.78,3.11,4.425926
Africa,2018,14.03,5.03,3.36,4.245441
Africa,2019,14.23,5.71,3.54,4.287292
Africa,2020,17.35,5.88,3.7,5.270976
Africa,2021,15.14,6.15,3.47,4.644741
Africa,2022,14.13,5.95,2.96,4.376868
Africa,2023,15.68,5.79,2.92,4.873083
Africa,2024,15.23,6.03,3.23,5.065259
Americas,1961,10.77,9.41,7.19,3.4814
Americas,1962,12.5,10.3,7.81,4.013205
Americas,1963,14.19,11.18,8.52,4.619368
