area,region,year,n_kg_per_ha,cereal_yield_t_ha,area_harvested_ha
Armenia,Asia,2024,31.21,1.9610999999999998,109701.0
Afghanistan,Asia,2024,12.55,2.3586,2635327.0
Albania,Europe,2024,37.09,5.1528,126129.0
Algeria,Africa,2024,8.25,1.5366,2680109.0
Angola,Africa,2024,7.16,1.1065999999999998,3164046.0
Argentina,Americas,2024,28.34,4.8542,17660490.0
Australia,Oceania,2024,78.27,2.6896999999999998,19463223.0
Austria,Europe,2024,65.4,6.7218,726060.0
Bangladesh,Asia,2024,171.82,5.408,12268360.0
Bolivia (Plurinational State of),Americas,2024,3.96,2.209,1691778.0
Botswana,Africa,2024,67.1,0.9004,60588.0
Brazil,Americas,2024,98.94,5.0026,27781508.0
Bulgaria,Europe,2024,87.99,5.1032,1968320.0
Myanmar,Asia,2024,13.6,3.7791,7972532.0
Burundi,Africa,2024,4.83,1.1634,678679.0
Cameroon,Africa,2024,6.53,1.7704000000000002,2172460.0
Canada,Americas,2024,75.58,4.0213,15830900.0
Central African Republic,Africa,2024,0.01,0.7884,358805.0
Sri Lanka,Asia,2024,54.57,4.0675,1212239.0
Chad,Africa,2024,2.86,0.8269,3276392.0
Chile,Americas,2024,100.98,6.6061000000000005,386898.0
"China, mainland",Asia,2024,191.83,6.4947,100290311.0
Colombia,Americas,2024,91.61,4.4222,981981.0
Cuba,Americas,2024,1.45,1.9456,158289.0
Azerbaijan,Asia,2024,16.48,3.427,964494.0
Benin,Africa,2024,11.25,1.356,2142777.0
Denmark,Europe,2024,83.19,6.0963,1229650.0
Dominican Republic,Americas,2024,130.99,4.4554,235617.0
Belarus,Europe,2024,82.93,3.3948,2277596.0
Ecuador,Americas,2024,28.32,4.0066999999999995,696223.0
Egypt,Africa,2024,375.22,7.360399999999999,3260919.0
El Salvador,Americas,2024,33.98,2.8192,317461.0
Estonia,Europe,2024,51.14,3.7329,349200.0
Finland,Europe,2024,50.33,3.6201,905200.0
France,Europe,2024,94.89,6.2808,8526600.0
Georgia,Asia,2024,103.88,2.816,148643.0
Gambia,Africa,2024,2.34,1.005,124224.0
Germany,Europe,2024,75.89,6.7905,5739700.0
Bosnia and Herzegovina,Europe,2024,108.15,5.3617,224321.0
Ghana,Africa,2024,14.1,2.6321999999999997,2357040.0
Greece,Europe,2024,67.8,4.0529,709120.0
Guatemala,Americas,2024,73.11,2.2375,1041865.0
Guinea,Africa,2024,2.48,1.351,3985943.0
Guyana,Americas,2024,127.06,6.562600000000001,170633.0
Haiti,Americas,2024,2.39,1.0644,303470.0
Honduras,Americas,2024,61.94,1.8868,408130.0
Hungary,Europe,2024,79.28,5.6297,2254010.0
Croatia,Europe,2024,97.62,6.5705,500040.0
India,Asia,2024,131.82,3.6325,107673781.0
Indonesia,Asia,2024,68.22,5.421399999999999,12594789.0
Iran (Islamic Republic of),Asia,2024,51.35,2.7248,8995601.0
Iraq,Asia,2024,31.36,2.651,2433650.0
Ireland,Europe,2024,164.5,7.3247,258930.0
Israel,Asia,2024,89.82,2.6194,66837.0
Italy,Europe,2024,57.92,4.9818,2837490.0
Côte d'Ivoire,Africa,2024,4.25,2.5416,1639929.0
Kazakhstan,Asia,2024,2.29,1.5295,16061052.0
Japan,Asia,2024,39.36,6.2477,1824306.0
Jordan,Asia,2024,56.28,1.6114000000000002,52137.0
Kyrgyzstan,Asia,2024,16.93,3.4894000000000003,611459.0
Kenya,Africa,2024,21.29,1.6930999999999998,2940254.0
Cambodia,Asia,2024,44.93,3.778,4123864.0
Democratic People's Republic of Korea,Asia,2024,1.14,3.6098000000000003,1353402.0
Republic of Korea,Asia,2024,135.16,6.5443999999999996,761624.0
Latvia,Europe,2024,60.35,3.9738,793300.0
Lao People's Democratic Republic,Asia,2024,64.42,4.1964,1016601.0
Lesotho,Africa,2024,3.61,0.6035,111896.0
Liberia,Africa,2024,3.0,1.1117000000000001,290000.0
Libya,Africa,2024,6.68,0.6597000000000001,249794.0
Lithuania,Europe,2024,53.61,4.3873999999999995,1300960.0
Madagascar,Africa,2024,2.68,2.3933,2188339.0
Malawi,Africa,2024,22.43,1.8775,1746689.0
Malaysia,Asia,2024,55.91,3.5436,593828.0
Mali,Africa,2024,4.25,1.6562999999999999,6303378.0
Mauritania,Africa,2024,4.06,1.5374,370911.0
Mexico,Americas,2024,55.98,3.7517,8700684.0
Mongolia,Asia,2024,44.99,1.2506,354364.0
Morocco,Africa,2024,17.72,1.2401,2584760.0
Mozambique,Africa,2024,11.41,0.7764,3420998.0
Republic of Moldova,Europe,2024,27.51,2.4061999999999997,885160.0
Namibia,Africa,2024,25.55,0.1844,332033.0
Nepal,Asia,2024,41.05,3.521,3273282.0
Netherlands (Kingdom of the),Europe,2024,95.69,6.8057,153500.0
North Macedonia,Europe,2024,45.76,3.5654,149249.0
New Zealand,Oceania,2024,51.95,9.101899999999999,121170.0
Niger,Africa,2024,0.46,0.5774,10331974.0
Nigeria,Africa,2024,7.91,1.558,18275835.0
Norway,Europe,2024,122.79,4.219600000000001,279979.0
Pakistan,Asia,2024,121.34,3.6206,15448713.0
Panama,Americas,2024,37.71,4.2264,109277.0
Czechia,Europe,2024,128.36,5.751399999999999,1307640.0
Paraguay,Americas,2024,34.56,3.6173,1605131.0
Peru,Americas,2024,35.86,4.850899999999999,1221107.0
Philippines,Asia,2024,58.1,3.8333000000000004,7102488.0
Poland,Europe,2024,80.21,4.8511999999999995,7079790.0
Portugal,Europe,2024,52.25,5.3088,191630.0
Guinea-Bissau,Africa,2024,0.52,1.3334000000000001,242659.0
Eritrea,Africa,2024,2.39,0.638,478367.0
Zimbabwe,Africa,2024,23.75,1.0697999999999999,1255304.0
Romania,Europe,2024,50.2,3.5256999999999996,5066880.0
Rwanda,Africa,2024,9.03,1.784,546634.0
Russian Federation,Europe,2024,18.09,3.042,39579836.0
Saudi Arabia,Asia,2024,56.28,5.1052,230134.0
Senegal,Africa,2024,13.89,2.0035,1953782.0
Slovenia,Europe,2024,66.61,6.586,102180.0
Slovakia,Europe,2024,81.13,5.5602,663130.0
South Africa,Africa,2024,46.41,4.562,3356840.0
Spain,Europe,2024,52.9,3.7859000000000003,5510760.0
Suriname,Americas,2024,223.67,4.4474,50824.0
Tajikistan,Asia,2024,33.08,4.1239,376457.0
Eswatini,Africa,2024,29.6,1.0831,71758.0
Sweden,Europe,2024,73.34,5.2423,982330.0
Switzerland,Europe,2024,64.89,4.5835,137029.0
Syrian Arab Republic,Asia,2024,6.94,1.6068,2695375.0
Turkmenistan,Asia,2024,303.95,1.7117,868613.0
"China, Taiwan Province of",Asia,2024,154.83,6.425800000000001,291168.0
United Republic of Tanzania,Africa,2024,9.88,1.8720999999999999,8262403.0
Thailand,Asia,2024,78.71,3.0848,12525660.0
Togo,Africa,2024,12.21,1.1977,1280036.0
Tunisia,Africa,2024,14.26,1.8911,795426.0
Türkiye,Asia,2024,79.79,3.4286999999999996,11379632.0
Uganda,Africa,2024,1.45,1.9198,2953368.0
United Kingdom of Great Britain and Northern Ireland,Europe,2024,113.11,6.5582,2964415.0
Ukraine,Europe,2024,28.56,5.1476999999999995,10811000.0
United States of America,Americas,2024,59.08,8.4135,54078269.0
Burkina Faso,Africa,2024,6.42,1.1979000000000002,4348855.0
Uruguay,Americas,2024,91.11,5.0577,813974.0
Uzbekistan,Asia,2024,207.19,5.4962,1509320.0
Venezuela (Bolivarian Republic of),Americas,2024,34.85,4.3145,808105.0
Viet Nam,Asia,2024,151.49,6.0378,7925586.0
Ethiopia,Africa,2024,29.65,2.6315999999999997,12069713.0
Yemen,Asia,2024,6.17,0.7687,547681.0
Democratic Republic of the Congo,Africa,2024,1.74,0.8717999999999999,5033816.0
Zambia,Africa,2024,53.75,2.3183000000000002,759622.0
Belgium,Europe,2024,140.73,6.8555,281940.0
Serbia,Europe,2024,95.55,5.1716999999999995,1687001.0
Sudan,Africa,2024,5.68,0.5802999999999999,11591941.0
South Sudan,Africa,2024,0.08,0.945,1269847.0
