area,region,year,irrigation_share_pct,cereal_yield_t_ha,area_harvested_ha
Armenia,Asia,2024,41.597139451728246,1.9610999999999998,109701.0
Afghanistan,Asia,2024,39.693145261073994,2.3586,2635327.0
Albania,Europe,2024,52.8880226789511,5.1528,126129.0
Algeria,Africa,2024,16.03392378893953,1.5366,2680109.0
Angola,Africa,2024,1.7368719247335191,1.1065999999999998,3164046.0
Argentina,Americas,2024,4.291324974172865,4.8542,17660490.0
Australia,Oceania,2024,6.938167456556081,2.6896999999999998,19463223.0
Austria,Europe,2024,11.200294775768269,6.7218,726060.0
Bangladesh,Asia,2024,99.02261620638708,5.408,12268360.0
Bolivia (Plurinational State of),Americas,2024,8.662324357085437,2.209,1691778.0
Botswana,Africa,2024,1.4312977099236641,0.9004,60588.0
Brazil,Americas,2024,14.409249033813014,5.0026,27781508.0
Bulgaria,Europe,2024,20.587296775971343,5.1032,1968320.0
Myanmar,Asia,2024,19.484099781886915,3.7791,7972532.0
Burundi,Africa,2024,1.471257925526325,1.1634,678679.0
Cameroon,Africa,2024,0.36023506907225034,1.7704000000000002,2172460.0
Canada,Americas,2024,3.185479652683335,4.0213,15830900.0
Central African Republic,Africa,2024,0.003533893573261148,0.7884,358805.0
Sri Lanka,Asia,2024,24.71828143917052,4.0675,1212239.0
Chad,Africa,2024,0.5671215629847793,0.8269,3276392.0
Chile,Americas,2024,58.07323589501807,6.6061000000000005,386898.0
"China, mainland",Asia,2024,57.96062453346604,6.4947,100290311.0
Colombia,Americas,2024,20.066457448772383,4.4222,981981.0
Cuba,Americas,2024,17.944182389937108,1.9456,158289.0
Azerbaijan,Asia,2024,62.96984542613397,3.427,964494.0
Benin,Africa,2024,0.5639006255519065,1.356,2142777.0
Denmark,Europe,2024,20.696893366918555,6.0963,1229650.0
Dominican Republic,Americas,2024,23.27131326977411,4.4554,235617.0
Belarus,Europe,2024,0.46084595598742495,3.3948,2277596.0
Ecuador,Americas,2024,50.460524814952066,4.0066999999999995,696223.0
Egypt,Africa,2024,94.90919839205486,7.360399999999999,3260919.0
El Salvador,Americas,2024,1.1430144781222038,2.8192,317461.0
Estonia,Europe,2024,0.22143864598025387,3.7329,349200.0
Finland,Europe,2024,2.1706980266381577,3.6201,905200.0
France,Europe,2024,15.537413444120688,6.2808,8526600.0
Georgia,Asia,2024,35.53357522739698,2.816,148643.0
Gambia,Africa,2024,0.8137888380722971,1.005,124224.0
Germany,Europe,2024,6.679601822169731,6.7905,5739700.0
Bosnia and Herzegovina,Europe,2024,0.6165988407941793,5.3617,224321.0
Ghana,Africa,2024,3.0064037748567576,2.6321999999999997,2357040.0
Greece,Europe,2024,69.28670360110803,4.0529,709120.0
Guatemala,Americas,2024,11.049615388387442,2.2375,1041865.0
Guinea,Africa,2024,1.3015916112338382,1.351,3985943.0
Guyana,Americas,2024,113.4920634920635,6.562600000000001,170633.0
Haiti,Americas,2024,7.431640400542433,1.0644,303470.0
Honduras,Americas,2024,5.217912793139441,1.8868,408130.0
Hungary,Europe,2024,5.070895119785965,5.6297,2254010.0
Croatia,Europe,2024,4.683136412459721,6.5705,500040.0
India,Asia,2024,44.93780185629191,3.6325,107673781.0
Indonesia,Asia,2024,15.363233510407436,5.421399999999999,12594789.0
Iran (Islamic Republic of),Asia,2024,54.57646389994315,2.7248,8995601.0
Iraq,Asia,2024,65.12305023435061,2.651,2433650.0
Israel,Asia,2024,86.85779165483963,2.6194,66837.0
Italy,Europe,2024,38.233922282652884,4.9818,2837490.0
Côte d'Ivoire,Africa,2024,0.5401528465498154,2.5416,1639929.0
Kazakhstan,Asia,2024,7.720027629709758,1.5295,16061052.0
Japan,Asia,2024,66.54962546816479,6.2477,1824306.0
Jordan,Asia,2024,31.927874006269455,1.6114000000000002,52137.0
Kyrgyzstan,Asia,2024,74.94808520630168,3.4894000000000003,611459.0
Kenya,Africa,2024,3.770115652933042,1.6930999999999998,2940254.0
