region,year,organic_agri_kha,agri_land_kha,organic_share_pct
Africa,2004,624.2,1112100.09,0.05612804149669658
Africa,2005,952.89,1120120.42,0.08507031770744793
Africa,2006,1149.9,1122356.78,0.102454052088499
Africa,2007,1271.07,1126494.78,0.11283407811263892
Africa,2008,1256.39,1129590.23,0.11122528919181605
Africa,2009,1413.44,1132938.84,0.12475872042660308
Africa,2010,1023.58,1141845.06,0.08964263505242996
Africa,2011,1022.4,1144034.71,0.08936791786675774
Africa,2012,1093.43,1150061.68,0.09507577019695153
Africa,2013,1077.57,1153881.65,0.0933865271191374
Africa,2014,1263.06,1157451.78,0.1091242004051348
Africa,2015,1682.42,1163028.45,0.14465854210187207
Africa,2016,1800.53,1166177.56,0.15439587089979676
Africa,2017,2031.65,1171018.19,0.1734943160874384
Africa,2018,2007.18,1175307.76,0.17077909874431527
Africa,2019,2122.92,1174082.84,0.1808151799578299
Africa,2020,2354.51,1176299.1,0.20016252669070309
Africa,2021,2744.04,1178993.43,0.23274429951658002
Africa,2022,2763.45,1181946.2,0.23380505813208757
Africa,2023,3413.16,1183413.86,0.28841642939689754
Africa,2024,2814.29,1185141.36,0.2374644995935337
Americas,2004,3214.4,1151067.95,0.2792537139097653
Americas,2005,7090.28,1152261.01,0.615336276977731
Americas,2006,6335.5,1151293.1,0.5502942734565159
Americas,2007,7898.16,1152140.44,0.6855205950413475
Americas,2008,9614.5673,1148438.11,0.8371863678400572
Americas,2009,10304.4768,1147388.17,0.8980811437161672
Americas,2010,10174.0068,1150239.16,0.8845122956864032
Americas,2011,9732.3934,1150273.89,0.8460935682022654
Americas,2012,9673.3099,1152668.74,0.8392098756837979
Americas,2013,9816.93,1153978.18,0.8507032602644186
Americas,2014,9897.89,1152035.58,0.8591653045993596
Americas,2015,9765.0,1153047.27,0.8468863553182863
Americas,2016,10292.33,1152325.72,0.8931788834844371
Americas,2017,11242.66,1150390.74,0.9772905508610057
Americas,2018,11544.49,1148198.33,1.005443894000438
Americas,2019,12056.88,1132696.57,1.0644404087848522
Americas,2020,13847.39,1121635.29,1.23457153349731
Americas,2021,13403.24,1105853.99,1.2120261916313202
Americas,2022,13211.21,1099476.42,1.2015910263905434
Americas,2023,13717.49,1104422.07,1.2420514197076846
Americas,2024,14699.42,1104406.49,1.3309791397549646
Asia,2004,211.82,1574018.98,0.013457271017151268
Asia,2005,2837.11,1557158.75,0.1821978651823393
Asia,2006,3145.72,1556901.74,0.20205000220502034
Asia,2007,3074.95,1554454.49,0.19781537637682786
Asia,2008,3504.14,1549372.45,0.22616511607651216
Asia,2009,4073.54,1547497.78,0.26323398021288275
Asia,2010,3271.42,1549431.98,0.21113672895792432
Asia,2011,4312.0,1546780.95,0.2787725049238549
Asia,2012,3925.94,1544492.53,0.2541896398812625
Asia,2013,4187.76,1542715.82,0.27145375355002194
Asia,2014,4412.67,1541130.1,0.286326897385237
Asia,2015,4483.43,1539860.48,0.29115819635815315
Asia,2016,5426.36,1537988.0,0.3528219986111725
Asia,2017,6665.54,1535506.79,0.4340938147202853
Asia,2018,6980.59,1534038.75,0.4550465234336486
Asia,2019,6463.04,1530233.07,0.42235657604759513
Asia,2020,6554.31,1528786.35,0.42872635538641485
Asia,2021,6886.2,1530396.56,0.44996180597792246
Asia,2022,9169.97,1530373.35,0.5991982283277475
Asia,2023,9510.07,1523130.362,0.6243766283742429
Asia,2024,8976.77,1524569.63,0.5888068228146458
Europe,2004,5764.1851,475647.4218,1.2118608943966318
Europe,2005,6567.7523,474973.2268,1.3827626336432486
Europe,2006,6989.4615,472410.1601,1.4795324254923874
Europe,2007,7495.9302,469879.9878,1.595286114460055
Europe,2008,8119.7175,470852.2909,1.7244723360015406
Europe,2009,8914.8712,469302.89,1.8995986152993858
Europe,2010,9545.118,467740.01,2.0406888006010004
Europe,2011,10103.4589,466608.0,2.1652991161746047
Europe,2012,10768.7029,465599.44,2.3128685249277794
Europe,2013,10886.1221,465359.83,2.3392913178604178
Europe,2014,11208.0207,463462.41,2.418323570189867
Europe,2015,12198.3596,463109.18,2.6340137761898825
Europe,2016,12883.8634,462332.1,2.7867118463113423
Europe,2017,13785.4285,462293.39,2.9819653056255033
Europe,2018,14654.959,461406.1,3.1761519841198464
Europe,2019,15712.0935,462730.18,3.3955195012350394
Europe,2020,16571.2325,460523.04,3.5983503670087815
Europe,2021,17555.1256,460401.72,3.8130017411750767
Europe,2022,17813.9252,459138.77,3.879856453855988
Europe,2023,19068.0128,455501.15,4.186161286310693
Europe,2024,19411.6752,455181.34,4.264602586740485
Oceania,2004,12077.0,408972.8531,2.9530077384004243
Oceania,2005,11763.0,424135.7659,2.773404401545661
Oceania,2006,12380.5,422877.1604,2.9276823530240486
Oceania,2007,12074.5,412093.6996,2.930037516157163
Oceania,2008,12110.6,402933.6397,3.005606583013724
Oceania,2009,12152.41,398030.351,3.0531365182249632
Oceania,2010,11785.16,390050.3988,3.021445443013863
Oceania,2011,11383.93,409781.9005,2.7780460742921465
Oceania,2012,12164.58,400570.2521,3.0368156237830624
Oceania,2013,9899.64,385169.9643,2.5702004095753943
Oceania,2014,18525.36,387850.6219,4.776416216441292
Oceania,2015,22838.46,361165.3555,6.323546722354437
Oceania,2016,27311.24,355548.4153,7.6814405084482456
Oceania,2017,35815.7,384882.0089,9.305631121174496
Oceania,2018,35929.48,371782.03,9.664124971290303
Oceania,2019,35881.19,375201.15,9.563187639483514
Oceania,2020,35907.58,368304.78,9.749420031963744
Oceania,2021,35944.5,376067.52,9.55799107564514
Oceania,2022,35864.89,375637.18,9.547747643084746
Oceania,2023,53174.94,375603.3,14.157207883956291
Oceania,2024,53201.32,375588.51,14.164789013380627
World,2004,21891.6051,4721807.3,0.46362766858359516
World,2005,29211.0324,4728649.17,0.617745815978985
World,2006,30001.0855,4725838.94,0.6348308920574428
World,2007,31814.6142,4715063.4,0.6747441444795842
World,2008,34605.4177,4701186.72,0.7360996225225447
World,2009,36858.7425,4695158.02,0.7850373159538516
World,2010,35799.28,4699306.61,0.7617991965840254
World,2011,36554.1871,4717479.45,0.7748669069454028
World,2012,37625.97,4713392.64,0.7982778621218368
World,2013,35868.0276,4701105.45,0.7629700712201638
World,2014,45307.0,4701930.5,0.9635829368383901
World,2015,50967.67,4680210.73,1.0890037423592676
World,2016,57714.33,4674371.8,1.2346970345833423
World,2017,69540.98,4704091.12,1.4783085239216198
World,2018,71116.71,4690732.97,1.516110817964554
World,2019,72236.13,4674943.81,1.545176432826473
World,2020,75235.03,4655548.55,1.6160293291324392
World,2021,76533.12,4651713.22,1.6452673752746951
World,2022,78823.44,4646571.91,1.6963783521860958
World,2023,98883.67,4642070.75,2.130162923518561
World,2024,99103.48,4644887.33,2.1336035291947546
