region,year,temp_change_c
Africa,1961,-0.009
Africa,1962,-0.025
Africa,1963,0.077
Africa,1964,-0.143
Africa,1965,-0.189
Africa,1966,0.147
Africa,1967,-0.206
Africa,1968,-0.221
Africa,1969,0.349
Africa,1970,0.216
Africa,1971,-0.214
Africa,1972,-0.007
Africa,1973,0.371
Africa,1974,-0.24
Africa,1975,-0.237
Africa,1976,-0.264
Africa,1977,0.227
Africa,1978,0.071
Africa,1979,0.43
Africa,1980,0.362
Africa,1981,0.107
Africa,1982,0.22
Africa,1983,0.411
Africa,1984,0.327
Africa,1985,0.291
Africa,1986,0.279
Africa,1987,0.67
Africa,1988,0.598
Africa,1989,-0.012
Africa,1990,0.564
Africa,1991,0.383
Africa,1992,0.082
Africa,1993,0.366
Africa,1994,0.383
Africa,1995,0.515
Africa,1996,0.501
Africa,1997,0.549
Africa,1998,0.933
Africa,1999,0.615
Africa,2000,0.439
Africa,2001,0.627
Africa,2002,0.854
Africa,2003,0.98
Africa,2004,0.798
Africa,2005,1.049
Africa,2006,0.887
Africa,2007,0.76
Africa,2008,0.668
Africa,2009,0.919
Africa,2010,1.464
Africa,2011,0.876
Africa,2012,0.694
Africa,2013,0.939
Africa,2014,0.935
Africa,2015,1.122
Africa,2016,1.31
Africa,2017,1.094
Africa,2018,1.098
Africa,2019,1.243
Africa,2020,1.142
Africa,2021,1.367
Africa,2022,0.986
Africa,2023,1.449
Africa,2024,1.733
Africa,2025,1.318
Americas,1961,0.047
Americas,1962,-0.093
Americas,1963,0.264
Americas,1964,-0.254
Americas,1965,-0.378
Americas,1966,-0.114
Americas,1967,-0.152
Americas,1968,0.058
Americas,1969,0.086
Americas,1970,0.192
Americas,1971,-0.205
Americas,1972,-0.618
Americas,1973,0.192
Americas,1974,-0.343
Americas,1975,-0.072
Americas,1976,-0.1
Americas,1977,0.581
Americas,1978,-0.125
Americas,1979,-0.082
Americas,1980,0.562
Americas,1981,0.803
Americas,1982,-0.16
Americas,1983,0.456
Americas,1984,0.115
Americas,1985,-0.04
Americas,1986,0.25
Americas,1987,0.904
Americas,1988,0.648
Americas,1989,0.161
Americas,1990,0.338
Americas,1991,0.415
Americas,1992,0.239
Americas,1993,0.281
Americas,1994,0.512
Americas,1995,0.753
Americas,1996,0.166
Americas,1997,0.558
Americas,1998,1.561
Americas,1999,0.926
Americas,2000,0.802
Americas,2001,0.924
Americas,2002,0.755
Americas,2003,1.012
Americas,2004,0.659
Americas,2005,1.075
Americas,2006,1.373
Americas,2007,0.983
Americas,2008,0.618
Americas,2009,0.681
Americas,2010,1.525
Americas,2011,0.939
Americas,2012,1.452
Americas,2013,0.898
Americas,2014,0.681
Americas,2015,1.353
Americas,2016,1.854
Americas,2017,1.375
Americas,2018,0.896
Americas,2019,1.243
Americas,2020,1.285
Americas,2021,1.58
Americas,2022,1.074
Americas,2023,1.793
Americas,2024,2.361
Americas,2025,1.949
Asia,1961,0.05
Asia,1962,-0.015
Asia,1963,0.277
Asia,1964,-0.172
Asia,1965,-0.031
Asia,1966,0.331
Asia,1967,-0.309
Asia,1968,-0.343
Asia,1969,-0.016
Asia,1970,0.063
Asia,1971,-0.138
Asia,1972,-0.17
Asia,1973,0.238
Asia,1974,-0.139
Asia,1975,0.01
Asia,1976,-0.336
Asia,1977,0.1
Asia,1978,0.163
Asia,1979,0.455
Asia,1980,0.282
Asia,1981,0.208
Asia,1982,0.117
Asia,1983,-0.011
Asia,1984,-0.123
Asia,1985,0.021
Asia,1986,0.058
Asia,1987,0.41
Asia,1988,0.433
Asia,1989,0.27
Asia,1990,0.537
Asia,1991,0.415
Asia,1992,-0.04
Asia,1993,0.092
Asia,1994,0.544
Asia,1995,0.639
Asia,1996,0.196
Asia,1997,0.629
Asia,1998,1.064
Asia,1999,1.109
Asia,2000,0.698
Asia,2001,1.033
Asia,2002,1.192
Asia,2003,0.671
Asia,2004,1.119
Asia,2005,0.891
Asia,2006,1.135
Asia,2007,1.21
Asia,2008,0.899
Asia,2009,1.096
Asia,2010,1.275
Asia,2011,0.722
Asia,2012,0.721
Asia,2013,1.075
Asia,2014,0.927
Asia,2015,1.311
Asia,2016,1.486
Asia,2017,1.492
Asia,2018,1.369
Asia,2019,1.408
Asia,2020,1.544
Asia,2021,1.562
Asia,2022,1.742
Asia,2023,1.791
Asia,2024,2.056
Asia,2025,1.835
Europe,1961,0.892
Europe,1962,0.314
Europe,1963,0.111
Europe,1964,-0.518
Europe,1965,-0.428
Europe,1966,0.73
Europe,1967,0.17
Europe,1968,0.046
Europe,1969,-1.01
Europe,1970,0.188
Europe,1971,0.263
Europe,1972,-0.155
Europe,1973,0.17
Europe,1974,0.02
Europe,1975,0.84
Europe,1976,-0.563
Europe,1977,0.185
Europe,1978,-0.171
Europe,1979,0.133
Europe,1980,-0.072
Europe,1981,0.656
Europe,1982,0.102
Europe,1983,0.933
Europe,1984,0.27
Europe,1985,-0.608
Europe,1986,0.253
Europe,1987,-0.566
Europe,1988,0.492
Europe,1989,1.033
Europe,1990,1.255
Europe,1991,0.591
Europe,1992,0.47
Europe,1993,0.748
Europe,1994,0.695
Europe,1995,1.828
Europe,1996,0.566
Europe,1997,1.094
Europe,1998,0.184
Europe,1999,0.582
Europe,2000,1.338
Europe,2001,0.948
Europe,2002,1.501
Europe,2003,0.965
Europe,2004,1.276
Europe,2005,1.528
Europe,2006,0.667
Europe,2007,2.299
Europe,2008,2.012
Europe,2009,1.226
Europe,2010,0.805
Europe,2011,1.536
Europe,2012,1.78
Europe,2013,1.106
Europe,2014,1.826
Europe,2015,2.109
Europe,2016,2.281
Europe,2017,1.962
Europe,2018,2.003
Europe,2019,2.098
Europe,2020,3.353
Europe,2021,1.585
Europe,2022,2.23
Europe,2023,2.418
Europe,2024,2.392
Europe,2025,2.714
Oceania,1961,0.134
Oceania,1962,0.157
Oceania,1963,-0.093
Oceania,1964,-0.015
Oceania,1965,0.076
Oceania,1966,-0.242
Oceania,1967,-0.104
Oceania,1968,-0.204
Oceania,1969,0.091
Oceania,1970,0.04
Oceania,1971,0.011
Oceania,1972,0.08
Oceania,1973,0.78
Oceania,1974,-0.334
Oceania,1975,0.041
Oceania,1976,-0.526
Oceania,1977,0.119
Oceania,1978,0.058
Oceania,1979,0.315
Oceania,1980,0.766
Oceania,1981,0.417
Oceania,1982,0.102
Oceania,1983,0.523
Oceania,1984,-0.178
Oceania,1985,0.28
Oceania,1986,0.325
Oceania,1987,0.303
Oceania,1988,0.877
Oceania,1989,0.144
Oceania,1990,0.503
Oceania,1991,0.728
Oceania,1992,0.229
Oceania,1993,0.403
Oceania,1994,0.173
Oceania,1995,0.374
Oceania,1996,0.55
Oceania,1997,0.309
Oceania,1998,1.059
Oceania,1999,0.561
Oceania,2000,0.145
Oceania,2001,0.328
Oceania,2002,0.689
Oceania,2003,0.775
Oceania,2004,0.647
Oceania,2005,1.113
Oceania,2006,0.654
Oceania,2007,0.846
Oceania,2008,0.572
Oceania,2009,0.921
Oceania,2010,0.657
Oceania,2011,0.197
Oceania,2012,0.267
Oceania,2013,1.398
Oceania,2014,1.086
Oceania,2015,0.996
Oceania,2016,1.149
Oceania,2017,1.094
Oceania,2018,1.083
Oceania,2019,1.363
Oceania,2020,1.375
Oceania,2021,0.653
Oceania,2022,0.788
Oceania,2023,0.915
Oceania,2024,1.457
