area,region,year,agrifood_t_per_cap,farm_gate_t_per_cap,population_m,gdp_cap_ppp
Armenia,Asia,2023,1.052021391638833,0.48713117820148377,2.943393,19403.0
Afghanistan,Asia,2023,0.546407128001534,0.3897915006674384,41.454761,1984.0
Albania,Europe,2023,1.3800894490967064,0.8742574746901736,2.811655,20481.0
Algeria,Africa,2023,1.4033783415679577,0.3380234527524445,46.164219,15159.0
Angola,Africa,2023,2.281792579278979,0.9790153449644198,36.749906,8788.0
Argentina,Americas,2023,5.374832298130099,3.3143738050881493,45.538401,27230.0
Australia,Oceania,2023,10.731265635441428,8.578328353834793,26.451124,60685.0
Austria,Europe,2023,1.9914037226509287,0.9431159039734057,9.130429,64536.0
Bahrain,Asia,2023,2.5639315625107506,0.055388088931021,1.569666,57820.0
Bangladesh,Asia,2023,0.8387907579178943,0.6622733950132326,171.46699,8242.0
Bolivia (Plurinational State of),Americas,2023,9.393527289216026,2.8859015306808744,12.244159,11616.0
Botswana,Africa,2023,6.746048211385655,6.1530857447896254,2.480244,18932.0
Brazil,Americas,2023,9.755391181774312,2.90324174025183,211.140729,19080.0
Bulgaria,Europe,2023,2.1985061956622345,1.0114150160032598,6.795803,33074.0
Myanmar,Asia,2023,2.949549566058528,1.3944779267104075,54.133798,5364.0
Burundi,Africa,2023,0.6381837400333834,0.5084115285858818,13.68945,1036.0
Cameroon,Africa,2023,2.8316051771903026,0.5128086282416607,28.372687,4875.0
Canada,Americas,2023,7.483755238191812,3.2597251693136524,39.299105,57517.0
Central African Republic,Africa,2023,10.977559772386613,3.0290056460836565,5.152421,1133.0
Sri Lanka,Asia,2023,0.6445310271366618,0.34887071293239824,22.971617,13025.0
Chad,Africa,2023,6.1783084315057915,4.955356149759637,19.319064,2433.0
Chile,Americas,2023,1.8093246522492306,0.6897573279393209,19.658835,29564.0
"China, mainland",Asia,2023,1.592766569741253,0.6688469586089734,1422.584933,
Colombia,Americas,2023,3.2570484132306565,1.436858844392417,52.321152,18383.0
Congo,Africa,2023,1.177788022905165,0.9109557269785868,6.182885,6172.0
Costa Rica,Americas,2023,2.0217158862212994,1.1721447451535347,5.105525,25980.0
Cuba,Americas,2023,1.1857465713714541,0.8669839947273718,11.019931,
Cyprus,Asia,2023,1.20901242847456,0.3730828654191599,1.344976,51454.0
Azerbaijan,Asia,2023,1.6163442640761134,0.8955759561714549,10.318207,21311.0
Benin,Africa,2023,1.2082187740458992,0.4844257408776706,14.111034,3721.0
Denmark,Europe,2023,3.0668582560990534,2.4540370798515703,5.948136,69379.0
Dominican Republic,Americas,2023,1.9480231112766317,0.9761830386986801,11.331265,23282.0
Belarus,Europe,2023,9.472056851491057,7.675955935267583,9.11568,27782.0
