area,region,r,n,mean_area_ha
Mongolia,Asia,-0.355811520577245,28,339000.10714285716
Republic of Moldova,Europe,-0.3482434104865827,33,348945.6060606061
Italy,Europe,-0.30450314536369044,35,2104991.0857142857
Algeria,Africa,-0.2902977142974254,35,1689084.6857142858
Tajikistan,Asia,-0.274929907399924,30,300642.3333333333
Türkiye,Asia,-0.26002109795560613,35,8340298.542857143
South Africa,Africa,-0.24762858300827742,35,777742.4285714285
Egypt,Africa,-0.23990181600792593,35,1186323.4857142856
Spain,Europe,-0.23639917844749964,35,2091316.4571428571
Nepal,Asia,-0.2316642172873292,35,683784.0285714286
Afghanistan,Asia,-0.22731760858752342,35,2128620.5142857144
Brazil,Americas,-0.18372667438970602,35,2110935.8
Paraguay,Americas,-0.18159757105614913,27,425863.7037037037
Canada,Americas,-0.16150141119405298,35,10352011.42857143
Azerbaijan,Asia,-0.1608881729984526,33,571885.9696969697
Australia,Oceania,-0.1522676155621408,35,11510491.657142857
India,Asia,-0.1415112379090768,35,27851806.34285714
Saudi Arabia,Asia,-0.1409392095499122,21,494935.7619047619
Mexico,Americas,-0.1307038831766485,35,705356.7428571428
France,Europe,-0.12214879969302077,35,5120583.142857143
Argentina,Americas,-0.11814110818147833,35,5348347.428571428
Iraq,Asia,-0.11512510193716904,35,1487453.4571428571
Ukraine,Europe,-0.11491964513106556,33,6017412.7272727275
Syrian Arab Republic,Asia,-0.11452584178439827,35,1492065.5714285714
Morocco,Africa,-0.10395182878677223,35,2776922.1428571427
Romania,Europe,-0.09196697347671477,35,2104722.742857143
Tunisia,Africa,-0.09195221210943517,35,722713.5714285715
Bangladesh,Asia,-0.08907073181782617,35,520120.34285714285
"China, mainland",Asia,-0.08109428947915094,35,25596690.57142857
Chile,Americas,-0.0577643812420498,33,330827.3333333333
Germany,Europe,-0.0546080022274707,35,2924112.4285714286
Ethiopia,Africa,-0.04413770192886122,32,1471891.65625
Czechia,Europe,-0.04008725024098913,32,828002.84375
Kazakhstan,Asia,-0.009138706962295023,33,11968371.454545455
Austria,Europe,-0.008194755265255163,35,282392.4
Belarus,Europe,-0.006257561824221194,29,551541.5862068966
Bulgaria,Europe,0.0017360459338322742,35,1158170.2285714287
Poland,Europe,0.0035936574801564156,35,2378297.257142857
Japan,Asia,0.0063075103379200735,26,216961.53846153847
Greece,Europe,0.015903110275705387,35,709055.3142857143
Hungary,Europe,0.02693771595944055,35,1059521.4857142856
Slovakia,Europe,0.02866721615955383,32,385294.1875
Pakistan,Asia,0.06827880229640414,35,8579189.542857142
Uzbekistan,Asia,0.08963506013642042,33,1313760.3333333333
United Kingdom of Great Britain and Northern Ireland,Europe,0.14107506800644076,35,1857771.6285714286
Russian Federation,Europe,0.15785332020955847,33,24424416.21212121
Iran (Islamic Republic of),Asia,0.1632066758492033,35,6155406.6
United States of America,Americas,0.17485454397192599,35,20142881.57142857
Denmark,Europe,0.17980004245075196,35,610852.2285714286
Lithuania,Europe,0.19239732773089924,33,550211.8484848485
Kyrgyzstan,Asia,0.2637508891074891,33,357065.1212121212
Turkmenistan,Asia,0.2778750319366696,32,723030.25
Sweden,Europe,0.35479399421856017,35,381269.4857142857
