region,year,kg_per_capita,production_mt,population_m
Africa,1961,159.24529000252477,46.310719,290.813744
Africa,1962,178.18870763231124,53.093043,297.959639
Africa,1963,178.69615283211638,54.568632,305.371051
Africa,1964,164.22444411437678,51.41217,313.060399
Africa,1965,161.918301888899,51.97792,321.013248
Africa,1966,147.731274946413,48.640817,329.251995
Africa,1967,181.6699834964979,61.377334,337.850716
Africa,1968,167.25296172248403,58.003434,346.800639
Africa,1969,168.1675989904106,59.873091,356.032264
Africa,1970,165.4221013935278,60.470359,365.551873
Africa,1971,174.88433125220976,65.638654,375.3261
Africa,1972,167.76693120509583,64.642592,385.311882
Africa,1973,145.22918013590626,57.484854,395.821652
Africa,1974,175.5038430765543,71.407246,406.869985
Africa,1975,164.6878181564,68.910844,418.433159
Africa,1976,164.12717798798315,70.656198,430.496636
Africa,1977,150.42213503524218,66.585882,442.660131
Africa,1978,152.77559483225724,69.595231,455.53893
Africa,1979,140.4531656227609,65.900368,469.198168
Africa,1980,150.31085595647522,72.607867,483.051384
Africa,1981,155.9303398914663,77.594156,497.620643
Africa,1982,140.13482208286578,71.883355,512.958549
Africa,1983,124.50250497311396,65.766259,528.232416
Africa,1984,121.43759989303172,66.018066,543.63777
Africa,1985,148.84415691228327,83.302682,559.66377
Africa,1986,153.79359260824594,88.580034,575.966999
Africa,1987,141.50886644499747,83.858301,592.601037
Africa,1988,157.3305006480861,95.875223,609.387389
Africa,1989,158.75586608793284,99.438146,626.358877
Africa,1990,144.76939723803824,93.19892304999999,643.77503
Africa,1991,158.59126892481274,104.84524359000001,661.103504
Africa,1992,132.2045850908144,89.70845426000001,678.557814
Africa,1993,144.159535342958,100.42463002,696.621488
Africa,1994,153.44907022682904,109.63972695999999,714.502387
Africa,1995,134.0117330924619,98.18974754999999,732.695155
Africa,1996,165.47285651986965,124.3484635,751.473481
Africa,1997,142.02837534074956,109.41644543000001,770.384405
Africa,1998,145.9904916754691,115.3297803,789.98145
Africa,1999,140.34170368570568,113.68794501,810.079556
Africa,2000,133.78003681050225,111.11536117,830.582528
Africa,2001,136.66352624813396,116.39497056,851.690087
Africa,2002,136.55751964423544,119.27084812000001,873.411061
Africa,2003,148.21644923230508,132.76254673,895.734228
Africa,2004,145.4322404713343,133.61997474,918.778218
Africa,2005,150.4835061050608,141.83768422999998,942.546382
Africa,2006,154.80771327547495,149.68855426,966.932145
Africa,2007,142.19083261279997,141.06121162,992.055599
Africa,2008,153.43543913326377,156.20729361000002,1018.065282
Africa,2009,153.81245779891066,160.69980005000002,1044.777532
Africa,2010,157.2896066504838,168.64851090000002,1072.216496
Africa,2011,149.58453331743635,164.56521521000002,1100.148602
Africa,2012,153.99802601858377,173.8396636,1128.843454
Africa,2013,154.86204842209716,179.45109,1158.780294
Africa,2014,161.3785175683915,191.91461537,1189.220339
Africa,2015,154.0149902363214,187.90991545,1220.075495
Africa,2016,149.061893949162,186.50750322,1251.208463
Africa,2017,159.26463803514739,204.32094098,1282.902115
Africa,2018,159.04743185554244,209.21254512000002,1315.409766
Africa,2019,152.14633132804303,205.09409037,1348.005493
Africa,2020,155.2193766809205,214.33020116,1380.821169
Africa,2021,155.81511637295478,220.28409632,1413.753052
Africa,2022,151.15178203779428,218.69904225,1446.883651
Africa,2023,149.17776600125126,220.89803888,1480.770525
Africa,2024,146.99651408448034,222.72042315000002,1515.140849
Americas,1961,533.0889451234326,227.749318,427.225738
Americas,1962,549.1035744473608,240.023182,437.118229
Americas,1963,586.2419578094102,262.066251,447.027456
Americas,1964,545.3274390521157,249.194793,456.963606
Americas,1965,585.7866607684405,273.470504,466.843174
Americas,1966,592.7051018905559,282.471711,476.580529
Americas,1967,622.0435588757116,302.431361,486.190005
Americas,1968,603.6305044703015,299.218566,495.698219
Americas,1969,605.4562248789002,305.88707,505.217483
Americas,1970,556.7796439996986,286.786348,515.080519
Americas,1971,664.3985656981368,348.944286,525.20325
Americas,1972,619.5841323438501,331.541968,535.1040330000001
Americas,1973,640.9212493780464,349.173548,544.799456
Americas,1974,566.1176883090284,313.921093,554.515606
Americas,1975,650.2671549500836,366.943715,564.296862
Americas,1976,678.7248209770504,389.67042,574.121364
Americas,1977,675.9199781351374,394.800338,584.093311
Americas,1978,680.4378291208664,404.337879,594.231922
Americas,1979,699.0571752914421,422.586412,604.509083
Americas,1980,649.9104132546468,399.692014,614.995553
Americas,1981,775.7194619817295,485.265253,625.567975
Americas,1982,772.8508161736754,491.693236,636.207177
Americas,1983,548.2192085500135,354.691496,646.98845
Americas,1984,705.172909473299,463.867913,657.807336
Americas,1985,755.8551674801157,505.363477,668.598296
Americas,1986,703.3044242567105,477.770531,679.322516
Americas,1987,643.2639497409494,443.875562,690.036434
Americas,1988,499.42219806920235,350.027409,700.86474
Americas,1989,615.4628081845484,438.086878,711.800733
Americas,1990,646.2134576829925,467.320265,723.167027
