item,year,median,q1,q3,n
Maize (corn),1991,193.2,137.25,262.67499999999995,78
Maize (corn),1992,198.14999999999998,138.35,262.79999999999995,84
Maize (corn),1993,176.1,139.2,246.8,91
Maize (corn),1994,174.2,137.60000000000002,213.95,98
Maize (corn),1995,181.64999999999998,150.575,235.375,104
Maize (corn),1996,196.5,156.1,255.9,101
Maize (corn),1997,174.1,133.1,245.7,101
Maize (corn),1998,170.9,113.525,239.225,106
Maize (corn),1999,151.1,114.82499999999999,218.05,102
Maize (corn),2000,137.7,109.6,212.0,105
Maize (corn),2001,138.0,103.1,214.1,107
Maize (corn),2002,140.2,101.82499999999999,207.825,110
Maize (corn),2003,152.9,122.7,216.6,109
Maize (corn),2004,171.1,127.0,231.3,101
Maize (corn),2005,165.45,121.10000000000001,254.325,100
Maize (corn),2006,183.1,142.4,246.5,103
Maize (corn),2007,255.1,200.70000000000002,305.875,102
Maize (corn),2008,266.2,222.25,381.6,103
Maize (corn),2009,240.1,170.8,356.7,101
Maize (corn),2010,264.15,207.55,334.925,100
Maize (corn),2011,304.15,252.04999999999998,398.55,102
Maize (corn),2012,305.54999999999995,256.625,390.5,102
Maize (corn),2013,295.0,226.10000000000002,393.55,95
Maize (corn),2014,265.95,187.925,376.225,92
Maize (corn),2015,242.7,171.4,355.7,89
Maize (corn),2016,258.0,175.55,383.8,91
Maize (corn),2017,244.05,171.825,385.75,94
Maize (corn),2018,249.0,176.95,390.5,96
Maize (corn),2019,247.0,175.82500000000002,375.225,92
Maize (corn),2020,274.6,184.375,356.04999999999995,98
Maize (corn),2021,301.4,244.4,408.275,98
Maize (corn),2022,341.9,289.7,492.5,97
Maize (corn),2023,304.3,235.9,510.75,87
Maize (corn),2024,288.8,201.6,467.15,75
Rice,1991,223.3,172.4,361.15,55
Rice,1992,209.95,168.6,364.825,60
Rice,1993,204.65,157.225,355.85,62
Rice,1994,198.64999999999998,166.65,298.75,64
Rice,1995,230.8,182.1,284.0,69
Rice,1996,259.15,190.45,385.29999999999995,68
Rice,1997,239.9,188.5,322.25,71
Rice,1998,240.65,178.4,320.27500000000003,74
Rice,1999,210.2,169.65,296.35,71
Rice,2000,194.35,144.0,280.875,74
Rice,2001,192.9,133.7,277.975,76
Rice,2002,175.45,139.65,329.95,76
Rice,2003,210.35,164.425,306.75,70
Rice,2004,218.85000000000002,165.675,324.825,66
Rice,2005,231.1,185.875,392.025,66
Rice,2006,248.8,178.2,415.3,69
Rice,2007,275.0,209.8,438.9,69
Rice,2008,394.7,316.725,566.225,70
Rice,2009,369.3,286.6,574.425,66
Rice,2010,364.5,288.8,489.425,68
Rice,2011,395.6,324.4,608.2,73
Rice,2012,379.7,299.6,581.6,71
Rice,2013,376.25,306.725,563.625,66
Rice,2014,420.7,305.65,572.55,63
Rice,2015,372.1,290.8,626.2,61
Rice,2016,362.0,261.57500000000005,594.55,62
Rice,2017,339.75,269.05,559.0999999999999,60
Rice,2018,363.4,288.125,557.9,62
Rice,2019,369.9,276.90000000000003,580.375,60
Rice,2020,413.6,293.85,665.1500000000001,63
Rice,2021,397.5,305.5,673.0,65
Rice,2022,438.1,334.6,700.8,65
Rice,2023,500.45000000000005,355.975,745.375,54
Rice,2024,457.7,382.0,752.6,45
Wheat,1991,197.3,163.1,279.9,53
Wheat,1992,203.35,145.65,282.225,58
Wheat,1993,168.4,133.7,218.55,64
Wheat,1994,161.3,124.4,218.2,71
Wheat,1995,177.0,143.7,233.2,75
Wheat,1996,196.60000000000002,166.175,241.85,76
Wheat,1997,177.95,136.17499999999998,225.45000000000002,80
Wheat,1998,154.0,119.05,204.14999999999998,83
Wheat,1999,155.4,117.0,213.14999999999998,83
Wheat,2000,133.8,106.5,189.7,87
Wheat,2001,130.6,103.95,195.0,87
Wheat,2002,130.15,104.075,187.175,86
Wheat,2003,158.4,126.1,206.60000000000002,86
Wheat,2004,167.2,135.35,215.3,83
Wheat,2005,164.2,121.475,210.6,84
Wheat,2006,165.5,141.825,225.2,84
Wheat,2007,252.8,206.975,287.5,84
Wheat,2008,279.4,249.0,393.9,85
Wheat,2009,221.5,158.35,315.75,82
Wheat,2010,238.6,202.875,321.125,82
Wheat,2011,292.7,265.775,376.025,84
Wheat,2012,296.0,265.59999999999997,387.125,86
Wheat,2013,290.6,247.625,392.45,84
Wheat,2014,279.15,213.8,386.70000000000005,82
Wheat,2015,234.4,176.3,347.5,81
Wheat,2016,199.1,155.2,366.3,85
Wheat,2017,209.9,170.05,354.0,83
Wheat,2018,215.4,188.39999999999998,307.025,82
Wheat,2019,213.9,177.1,366.3,81
Wheat,2020,228.7,191.825,346.75,84
Wheat,2021,287.7,238.55,394.6,83
Wheat,2022,340.7,307.17499999999995,438.1,84
Wheat,2023,296.3,227.875,389.25,76
Wheat,2024,243.8,205.3,355.35,67
