area,region,prod_growth_pct,pop_growth_pct,population_m,gap_pp
Somalia,Africa,-64.00844832547621,55.02796663055438,19.009151,-119.0364149560306
Yemen,Asia,-58.43801983325847,51.687885803550635,40.583164,-110.12590563680911
Gambia,Africa,-65.61482485278158,43.254698618831846,2.759988,-108.86952347161343
Zambia,Africa,-43.12396254931302,52.62477199322851,21.314956,-95.74873454254153
Namibia,Africa,-48.26780495689209,43.62096889247427,3.030131,-91.88877384936636
Costa Rica,Americas,-74.78309956480315,12.597734572852005,5.12991,-87.38083413765516
Chad,Africa,-16.579314524062973,64.8649693504405,20.299123,-81.44428387450347
Timor-Leste,Asia,-49.58294785295546,29.129263127616568,1.400638,-78.71221098057202
Lesotho,Africa,-61.010635533768685,17.090636397927916,2.337423,-78.1012719316966
Morocco,Africa,-59.08623072693216,17.29187862537167,38.081173,-76.37810935230382
Haiti,Americas,-48.468410976388,20.087768458234546,11.772557,-68.55617943462255
Saudi Arabia,Asia,-24.935584654554987,35.00252095549221,33.962757,-59.938105610047195
Cuba,Americas,-60.47171942506989,-2.811494210752219,10.979783,-57.66022521431768
Israel,Asia,-27.37081181010963,27.945482561384605,9.387021,-55.31629437149424
Malawi,Africa,-9.16320908914896,46.058341763642474,21.655286,-55.22155085279144
Mozambique,Africa,-0.4867640419549235,50.577904004198395,34.631766,-51.064668046153315
Netherlands (Kingdom of the),Europe,-42.06370729494391,8.690516828367144,18.228742,-50.754224123311054
Niger,Africa,13.331499798825575,63.34933546681685,27.032412,-50.01783566799127
Afghanistan,Asia,4.341884673493368,50.782625524902,42.647492,-46.440740851408634
Switzerland,Europe,-32.02733108009389,14.007955528368953,8.921981,-46.03528660846284
Libya,Africa,-32.331124529628866,13.591964959427273,7.381023,-45.92308948905614
Chile,Americas,-28.77453112498124,15.035430042515596,19.764771,-43.80996116749684
Belgium,Europe,-36.44884211523084,7.334410082231946,11.738763,-43.78325219746279
Madagascar,Africa,1.5052477899878847,44.09442401369677,31.964956,-42.58917622370888
Malaysia,Asia,-14.62789604151199,24.085535146561732,35.557673,-38.71343118807372
Turkmenistan,Asia,-3.1523485080411473,34.68760805383408,7.494498,-37.83995656187523
Armenia,Asia,-33.1788702733931,1.458917162900475,2.97384,-34.63778743629358
Algeria,Africa,-2.2096033263445003,29.363332327113145,46.814308,-31.572935653457645
Burkina Faso,Africa,14.228106897726732,45.574035863633775,23.548781,-31.345928965907042
Greece,Europe,-39.142712821225366,-9.679864661153992,10.047817,-29.462848160071374
Liberia,Africa,8.882134414049304,38.28453099246345,5.612817,-29.402396578414148
Zimbabwe,Africa,-3.2798959838772124,24.540959235874425,16.634373,-27.820855219751635
Indonesia,Asia,-12.020255831945503,15.09614518195428,283.487931,-27.116401013899782
Tajikistan,Asia,12.289166682940845,38.404754956815346,10.590927,-26.1155882738745
Nigeria,Africa,15.508056751968224,39.62760942582331,232.679478,-24.119552673855083
Myanmar,Asia,-12.815772061134245,11.169358544897111,54.500091,-23.985130606031355
France,Europe,-18.66020831178873,4.93739703431062,66.54853,-23.59760534609935
Republic of Korea,Asia,-17.213129603137432,6.045311426451372,51.71759,-23.258441029588802
Denmark,Europe,-15.421518187562056,7.74260287249342,5.977412,-23.164121060055475
Ireland,Europe,-7.202382987299916,15.264856067452204,5.255017,-22.46723905475212
Italy,Europe,-23.601506012245434,-1.3651736789110802,59.342867,-22.236332333334353
Mexico,Americas,-6.53725310091281,15.170323108532768,130.861007,-21.707576209445577
Kenya,Africa,14.50470495604652,35.66078850745027,56.432944,-21.15608355140375
Cameroon,Africa,27.70282933826056,48.07629789324481,29.123744,-20.373468554984253
Lao People's Democratic Republic,Asia,4.2655348935541015,22.664683146742902,7.769819,-18.3991482531888
South Africa,Africa,4.170009184581613,22.281683930042018,64.007187,-18.111674745460405
Uzbekistan,Asia,10.99838656586607,28.10009094077801,36.361859,-17.10170437491194
United Kingdom of Great Britain and Northern Ireland,Europe,-7.184582174906174,9.731869972808994,69.138192,-16.91645214771517
Germany,Europe,-11.4972388287503,4.6038295937332,84.552242,-16.1010684224835
Norway,Europe,-2.0235528279980097,14.061673554690968,5.57666,-16.085226382688976
Guinea-Bissau,Africa,26.32482472657378,40.540506030911416,2.201352,-14.215681304337636
El Salvador,Americas,-7.598691308392203,4.448466106120552,6.338193,-12.047157414512755
New Zealand,Oceania,10.145311676067825,19.922258997141064,5.213944,-9.776947321073239
Austria,Europe,0.2827726338030301,9.034222217759226,9.120813,-8.751449583956195
Viet Nam,Asia,7.26153014180051,15.473685301010054,100.987687,-8.212155159209544
Lebanon,Asia,7.196801795156982,15.168226849963728,5.805962,-7.971425054806747
Thailand,Asia,-3.257901945035413,4.503629199576364,71.668011,-7.761531144611777
Honduras,Americas,21.67720950689049,29.403070424885456,10.825703,-7.725860917994964
Sierra Leone,Africa,31.183604651633125,38.878662911392034,8.642022,-7.695058259758909
Egypt,Africa,23.308168260942374,30.654024764677978,116.538258,-7.345856503735604
Paraguay,Americas,16.693512936422895,20.759637858051217,6.929153,-4.066124921628322
Mongolia,Asia,24.810114853180565,28.641182767202665,3.47554,-3.8310679140221
Ecuador,Americas,16.477585972226684,20.288153338646175,18.135478,-3.810567366419491
Venezuela (Bolivarian Republic of),Americas,-4.863990576419386,-1.4144884995197171,28.405543,-3.449502076899669
Albania,Europe,-6.32467569904871,-4.676340055491779,2.791765,-1.6483356435569307
Iraq,Asia,47.889851945599446,48.30559575300224,46.042015,-0.4157438074027908
Sri Lanka,Asia,10.315208490874195,10.65408074078329,23.103564,-0.3388722499090946
Türkiye,Asia,19.082682293156928,19.26061119338467,87.473805,-0.17792890022774088
Portugal,Europe,-0.1848501379507983,-1.4497866459457054,10.425292,1.264936507994907
Syrian Arab Republic,Asia,11.02155265010385,9.742456550495904,24.67276,1.279096099607946
Dominican Republic,Americas,18.421758161170644,16.368160445205927,11.427557,2.0535977159647167
Democratic People's Republic of Korea,Asia,8.208218054659255,6.049343229257098,26.498823,2.1588748254021572
United States of America,Americas,13.427586853974827,11.047216865765265,345.426571,2.380369988209562
Spain,Europe,4.944549450049074,2.2844667808741725,47.910526,2.6600826691749013
Philippines,Asia,22.91891231754728,20.248210645688246,115.843669,2.6707016718590353
Serbia,Europe,-6.138530715682677,-8.91914724229651,6.736216,2.7806165266138336
Japan,Asia,-0.4965852961771877,-3.4576779587202955,123.753041,2.9610926625431078
Uruguay,Americas,5.913880226891055,2.0493102471539126,3.386588,3.8645699797371424
Peru,Americas,21.674041941202702,17.64362802623487,34.217848,4.030413914967831
Colombia,Americas,22.81038695195616,18.10971308934328,52.886363,4.700673862612881
Finland,Europe,9.532622161351378,4.735100263827641,5.61731,4.797521897523738
Republic of Moldova,Europe,-10.735324133312151,-16.438114401133042,3.034961,5.702790267820891
Rwanda,Africa,44.1433503821385,38.177792738258766,14.256567,5.965557643879734
Hungary,Europe,3.4229253541281146,-3.0362770137554063,9.676135,6.45920236788352
Czechia,Europe,9.280923794108876,2.597697733235793,10.735859,6.683226060873083
Iran (Islamic Republic of),Asia,25.075549320071545,18.27272146855854,91.567738,6.802827851513005
Sweden,Europe,20.334151185886196,13.102331015057,10.606999,7.231820170829195
Guatemala,Americas,35.82026935160929,26.939426398913334,18.406359,8.880842952695957
Panama,Americas,33.33314087093087,24.446284795378848,4.515577,8.886856075552021
North Macedonia,Europe,-1.7418638875706938,-11.137969441946282,1.823009,9.396105554375588
