area,region,score,n_indicators,pou_pct,stunting_pct,cereal_import_dep_pct,unaffordable_pct,agrifood_t_per_cap,obesity_pct,cereal_yield_t_ha,des_adequacy_pct
Republic of Korea,Asia,0.8316555327431177,8,2.5,1.8,78.5,5.3,1.8884195419718344,8.4,6.5443999999999996,138.0
Bulgaria,Europe,0.8164652804384224,8,2.6,5.5,-1015.6,20.7,2.1985061956622345,20.3,5.1032,123.0
Serbia,Europe,0.8017798070689799,8,3.0,4.6,-41.6,8.5,2.260246580604946,21.8,5.1716999999999995,157.0
"China, mainland",Asia,0.7519192781386971,6,2.9,,9.2,11.3,1.592766569741253,,6.4947,142.0
Mauritius,Africa,0.719491191741352,8,4.9,7.8,90.9,17.8,1.4211931959157906,21.1,11.8902,135.0
United Arab Emirates,Asia,0.7081086629137245,6,2.5,,100.0,1.9,1.9807042626343474,31.6,22.4743,
Viet Nam,Asia,0.6470833969996128,8,6.1,19.2,15.4,7.0,1.4435749226085663,2.4,6.0378,131.0
Montenegro,Europe,0.6008854948022966,8,3.0,8.0,96.1,7.5,1.730495681491022,17.1,2.6995999999999998,149.0
Bosnia and Herzegovina,Europe,0.597085445445295,8,2.8,7.9,36.6,12.7,1.690114889046499,21.0,5.3617,140.0
Russian Federation,Europe,0.5604161746341892,7,2.7,,-32.1,12.4,2.9100640839381056,17.6,3.042,145.0
Croatia,Europe,0.5541936719987475,7,2.7,,-50.8,12.0,2.0021826103182656,30.8,6.5705,141.0
Latvia,Europe,0.5473848338525107,8,2.5,1.7,-140.7,16.9,5.273203087979363,22.3,3.9738,138.0
Uzbekistan,Asia,0.54658792082671,8,2.6,6.7,28.0,6.2,1.9714234369181216,31.2,5.4962,142.0
Kazakhstan,Asia,0.5216546202414658,8,2.5,4.4,-59.4,3.4,2.5642081270218786,21.1,1.5295,134.0
North Macedonia,Europe,0.5097903703006584,8,2.6,3.8,25.5,15.6,1.8361204431483313,26.8,3.5654,141.0
Azerbaijan,Asia,0.4992491543333334,8,3.1,6.8,34.1,0.7,1.6163442640761134,27.6,3.427,137.0
"China, Taiwan Province of",Asia,0.481753245035997,6,3.6,,78.3,3.8,1.7115971445046123,,6.425800000000001,120.0
Albania,Europe,0.4709406129184921,8,5.6,7.4,36.4,11.9,1.3800894490967064,24.1,5.1528,131.0
Saint Vincent and the Grenadines,Americas,0.45827835821158414,6,4.0,,98.5,,0.956582414654126,34.6,13.3438,124.0
Tunisia,Africa,0.4451289016791638,8,2.8,8.9,87.0,8.6,1.3848328800843184,26.1,1.8911,145.0
Estonia,Europe,0.44441822040946016,8,2.9,1.3,-119.5,10.2,7.428794920406439,20.3,3.7329,131.0
Dominican Republic,Americas,0.43801098166867286,8,2.8,5.6,63.0,16.2,1.9480231112766317,30.8,4.4554,140.0
Oman,Asia,0.4133293776508441,7,7.1,12.9,88.6,,2.3923935722180776,30.5,27.671799999999998,122.0
Hungary,Europe,0.40349189480589154,7,2.5,,-61.4,29.8,2.6718141699400495,31.4,5.6297,142.0
Belarus,Europe,0.4032737388902636,8,2.6,1.1,3.9,0.6,9.472056851491057,20.6,3.3948,140.0
Türkiye,Asia,0.39605262789784107,7,3.1,5.5,35.0,4.0,1.8080438784234778,28.8,3.4286999999999996,
Sri Lanka,Asia,0.3787950409306797,8,4.9,10.1,26.4,34.9,0.6445310271366618,11.2,4.0675,119.0
Nepal,Asia,0.3781087335086961,8,5.2,26.0,17.3,17.9,1.0423128921628684,8.0,3.521,129.0
Paraguay,Americas,0.3744612360905628,8,4.1,3.2,-1894.1,22.3,10.433414760585176,34.7,3.6173,131.0
Algeria,Africa,0.33668346776536706,8,2.6,8.9,83.9,38.8,1.4033783415679577,23.6,1.5366,147.0
Republic of Moldova,Europe,0.3356805589074963,8,2.7,4.2,100.0,11.4,1.9027637452030763,22.3,2.4061999999999997,123.0
Morocco,Africa,0.33216078886234446,8,6.5,13.7,64.6,12.4,1.2404298309009174,21.6,1.2401,139.0
Cyprus,Asia,0.29383840677211753,6,3.0,,98.5,1.5,1.20901242847456,21.6,1.4395,
Ukraine,Europe,0.2765307201612693,7,10.8,11.7,-298.4,,2.147976953017791,22.8,5.1476999999999995,108.0
Guyana,Americas,0.2758532885570829,8,2.9,7.1,-105.7,9.3,17.527562554985582,30.1,6.562600000000001,145.0
Kyrgyzstan,Asia,0.26562660608211736,8,4.8,11.0,27.4,22.1,1.1058856868352316,22.0,3.4894000000000003,118.0
Saudi Arabia,Asia,0.2495077033110546,7,2.7,11.1,89.3,,2.2576374028943706,40.1,5.1052,147.0
Bangladesh,Asia,0.24190529123226961,8,8.2,25.1,16.0,38.6,0.8387907579178943,5.8,5.408,115.0
Philippines,Asia,0.2402289223523772,8,3.4,27.7,30.7,45.0,0.9452372344029588,9.6,3.8333000000000004,129.0
