domain,flag_group,n,share
CAHD,Estimated,6894,100.0
ET,Estimated,568179,100.0
FS,Estimated,106561,58.44114533917593
FS,External source,75367,41.33345033152535
FS,Official,411,0.2254043292987238
GT,Estimated,1362938,100.0
OA,Estimated,1051,1.2832566146933493
OA,External source,80850,98.71674338530666
PP,External source,3094,0.9132150541760256
PP,Imputed,96,0.02833505016189349
PP,Official,335493,99.02303108295972
PP,Time-series break,120,0.03541881270236686
QCL,Estimated,1778734,43.22818734043704
QCL,External source,111118,2.7004766990987314
QCL,Imputed,387557,9.418713872393374
QCL,Official,1837346,44.652622088070856
RFN,Estimated,170941,66.71024492280795
RFN,External source,22699,8.858353756575763
RFN,Imputed,26720,10.427561230701988
RFN,Official,35871,13.998766800393375
RFN,Provisional,13,0.005073289520925368
RL,Estimated,209193,49.59836310441137
RL,External source,9285,2.2014159241679194
RL,Imputed,133702,31.69991512041994
RL,Official,69594,16.50030585100077
