item,2000,2024,growth_pct,added_mt
Mushrooms and truffles,8.78100272,51.595327299999994,487.57899234542083,42.81432457999999
Oil palm fruit,120.81696456,418.69691406,246.5547372298591,297.87994949999995
Spinach,9.53175536,30.71739061,222.26373264787605,21.185635249999997
Green garlic,10.998743699999999,29.690764,169.94686674988168,18.692020300000003
"Other beans, green",9.96223837,25.93133318,160.29625287916093,15.96909481
Tea leaves,12.81898779,32.72893055,155.3160287392707,19.90994276
Soya beans,161.31258319999998,397.67168856,146.52242290792356,236.35910536000003
"Tangerines, mandarins, clementines",21.6004067,51.91789339,140.35609195265755,30.317486690000003
"Mangoes, guavas and mangosteens",26.190045480000002,62.2118345,137.54000178238712,36.02178902
Yams,38.965398869999994,92.44267745,137.24299027045998,53.47727858000001
Cucumbers and gherkins,38.0804955,87.84403191,130.67985528182007,49.76353641
Raw milk of buffalo,66.66881379,153.04004093,129.5526682266473,86.37122714
Rape or colza seed,39.55239249,87.85064333,122.1120842492934,48.298250839999994
"Meat of chickens, fresh or chilled",58.69544347,128.30722946,118.59827931205511,69.61178599
"Onions and shallots, dry (excluding dehydrated)",49.97409757,108.26001129000001,116.63224861310889,58.28591372000001
Lemons and limes,10.82622017,23.20100491,114.30383407766965,12.374784740000003
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",21.24349645,44.772071759999996,110.75660433478217,23.528575309999997
Peaches and nectarines,13.27878312,27.89164596,110.046701628786,14.612862840000002
"Pumpkins, squash and gourds",16.55815925,34.58440471,108.86624043068073,18.026245460000002
Eggplants (aubergines),27.64775428,57.54010787,108.11855924089903,29.89235359
