item,year,element_code,value
Cattle,1961,5111,942122097.0
Cattle,1962,5111,957121229.0
Cattle,1963,5111,970331395.0
Cattle,1964,5111,987525060.0
Cattle,1965,5111,1008857195.0
Cattle,1966,5111,1027693877.0
Cattle,1967,5111,1049721175.0
Cattle,1968,5111,1064606627.0
Cattle,1969,5111,1069826761.0
Cattle,1970,5111,1081581057.0
Cattle,1971,5111,1096587746.0
Cattle,1972,5111,1119270076.0
Cattle,1973,5111,1138667102.0
Cattle,1974,5111,1166714169.0
Cattle,1975,5111,1187875123.0
Cattle,1976,5111,1199300412.0
Cattle,1977,5111,1204063622.0
Cattle,1978,5111,1205679621.0
Cattle,1979,5111,1210627837.0
Cattle,1980,5111,1216682145.0
Cattle,1981,5111,1228366016.0
Cattle,1982,5111,1242183541.0
Cattle,1983,5111,1249448026.0
Cattle,1984,5111,1256544676.0
Cattle,1985,5111,1261444212.0
Cattle,1986,5111,1268268786.0
Cattle,1987,5111,1268378674.0
Cattle,1988,5111,1274153574.0
Cattle,1989,5111,1291426005.0
Cattle,1990,5111,1299122399.0
Cattle,1991,5111,1302206293.0
Cattle,1992,5111,1309777478.0
Cattle,1993,5111,1310377228.0
Cattle,1994,5111,1321016835.0
Cattle,1995,5111,1330057910.0
Cattle,1996,5111,1332924534.0
Cattle,1997,5111,1311768147.0
Cattle,1998,5111,1313066905.0
Cattle,1999,5111,1316521397.0
Cattle,2000,5111,1319670536.0
Cattle,2001,5111,1320641636.0
Cattle,2002,5111,1332192713.0
Cattle,2003,5111,1346073125.0
Cattle,2004,5111,1360517521.0
Cattle,2005,5111,1375682780.0
Cattle,2006,5111,1392084959.0
Cattle,2007,5111,1402871232.0
Cattle,2008,5111,1415189980.0
Cattle,2009,5111,1409791484.0
Cattle,2010,5111,1412123996.0
Cattle,2011,5111,1416742920.0
Cattle,2012,5111,1428660570.0
Cattle,2013,5111,1432327901.0
Cattle,2014,5111,1439191732.0
Cattle,2015,5111,1451329498.0
Cattle,2016,5111,1470779878.0
